# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
1983	Achang_Longchuan	Chinese (Han)	kă³¹phuaŋ³¹	k ă ³¹ + pʰ ua ŋ ³¹	i n t + i n c t	k ă - ³¹ + pʰ ua ŋ ³¹	19 3164
3636	Xiandao	Chinese (Han)	khaʔ³¹phɔŋ³¹	kh a ʔ ³¹ + ph ɔ ŋ ³¹	i n c t + i n c t	kh a ʔ ³¹ + ph ɔ ŋ ³¹	19 3164
5097	Atsi	Chinese (Han)	mji²¹va²¹	m j i ²¹ + v a ²¹	i m n t + i n t	m j i ²¹ + v a ²¹	14211 22
6869	Maru	Chinese (Han)	xa³¹vɔ³¹	x a ³¹ + v ɔ ³¹	i n t + i n t	x a ³¹ + v ɔ ³¹	22 25
8503	Bola	Chinese (Han)	xɛ⁵⁵va³¹	x ɛ ⁵⁵ + v a ³¹	i n t + i n t	x ɛ ⁵⁵ + v a ³¹	23 22
10227	Lashi	Chinese (Han)	lə̆³¹xe̱i³³	l ə̆ ³¹ + ˀx ei ³³	i n t + i n t	l ə̆ ³¹ + ˀx ei ³³	2402 22
#
728	Rangoon	February	kɑ̃²²shõ²²	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	i n c t + i n c t	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	42 43
2491	Achang_Longchuan	February	sək⁵⁵pau⁵¹l̥ɔ³⁵	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ ³⁵	i n c t + i n t + i n t	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ - ³⁵	36 37 10508
4062	Xiandao	February	lɤn³¹sɔŋ³⁵	l ɤ n ³¹ + s ɔ ŋ ³⁵	i n c t + i n c t	l ɤ n ³¹ + s ɔ ŋ ³⁵	10508 43
5657	Atsi	February	lŏ̱⁵⁵mo⁵⁵i⁵⁵khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + /ʔ i ⁵⁵ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t	ˀl ŏ - ⁵⁵ + m o ⁵⁵ + /ʔ i - ⁵⁵ + kʰ j a p ⁵⁵	10508 4195 36 11585
7366	Maru	February	lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	i n t + i n c t + i m n c t	ˀl ɔ - ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	10508 36 11585
9038	Bola	February	ə³⁵jɛ³¹	/ʔ ə ³⁵ + /ʔ j ɛ ³¹	i n t + i m n t	/ʔ ə - ³⁵ + /ʔ j ɛ ³¹	36 41
10693	Lashi	February	lə̆⁵⁵mo⁵⁵ə̱k⁵⁵khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + ˀ/ʔ ə k ⁵⁵ + kh j a p ⁵⁵	i n t + i n t + i n c t + i m n c t	l ə̆ - ⁵⁵ + m o ⁵⁵ + ˀ/ʔ ə k ⁵⁵ + kh j a p ⁵⁵	10508 4195 36 11585
#
846	Rangoon	I	ŋɑ²²	ŋ ɑ ²²	i n t	ŋ ɑ ²²	57
2602	Achang_Longchuan	I	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	ŋ ɔ ⁵⁵	57
4167	Xiandao	I	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	ŋ ɔ ⁵⁵	57
5776	Atsi	I	ŋo⁵¹	ŋ o ⁵¹	i n t	ŋ o ⁵¹	57
7478	Maru	I	ŋɔ³¹	ŋ ɔ ³¹	i n t	ŋ ɔ ³¹	57
9159	Bola	I	ŋa⁵⁵	ŋ a ⁵⁵	i n t	ŋ a ⁵⁵	57
10805	Lashi	I	ŋo³¹	ŋ o ³¹	i n t	ŋ o ³¹	57
11817	Old_Burmese	I	ṅa	ŋ a ²²	i n t	ŋ a ²²	57
#
727	Rangoon	January	tɑ̃²²khu⁵⁵	t ɑ̃ ∼ ²² + kʰ u ⁵⁵	i n c t + i n t	t ɑ̃ ∼ ²² + kʰ u ⁵⁵	72 74
2490	Achang_Longchuan	January	tă³¹pau⁵¹l̥ɔ³⁵	t ă ³¹ + p au ⁵¹ + l̥ ɔ ³⁵	i n t + i n t + i n t	t ă ³¹ + p au ⁵¹ + l̥ ɔ - ³⁵	11284 67 68
4061	Xiandao	January	lɤn³¹ta³¹	l ɤ n ³¹ + t a ³¹	i n c t + i n t	l ɤ n ³¹ + t a ³¹	68 11284
5656	Atsi	January	lŏ̱⁵⁵mo⁵⁵lă²¹khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + l ă ²¹ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t	ˀl ŏ ⁵⁵ + m o ⁵⁵ + l ă - ²¹ + kʰ j a p ⁵⁵	69 4195 68 11585
7365	Maru	January	lɔ̱⁵⁵tă³¹khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	i n t + i n t + i m n c t	ˀl ɔ - ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	68 11284 11585
9037	Bola	January	tʃin³⁵jɛ³¹	tʃ i n ³⁵ + /ʔ j ɛ ³¹	i n c t + i m n t	tʃ i n ³⁵ + /ʔ j ɛ ³¹	72 73
10692	Lashi	January	lə̆⁵⁵mo⁵⁵ta³¹khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	i n t + i n t + i n t + i m n c t	l ə̆ - ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	68 4195 11284 11585
#
743	Rangoon	Monday	tɑ⁵³nĩ⁵⁵lɑ²²	t ɑ ⁵³ + n ĩ ∼ ⁵⁵ + l ɑ ²²	i n t + i n c t + i n t	t ɑ - ⁵³ + n ĩ ∼ ⁵⁵ + l ɑ ²²	89 94 68
5672	Atsi	Monday	jĭ⁵⁵pan²¹thaŋ⁵¹lă²¹ŋji⁵⁵	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i ⁵⁵	87 88 89 68 4260
9053	Bola	Monday	lə̆³¹pan⁵¹ta³¹	l ə̆ ³¹ + p a n ⁵¹ + t a ³¹	i n t + i n c t + i n t	l ə̆ ³¹ + p a n ⁵¹ + t a ³¹	68 89 92
10707	Lashi	Monday	lə̆⁵⁵pan³¹ta³¹ŋjei⁵⁵	l ə̆ ⁵⁵ + p a n ³¹ + t a ³¹ + ŋ j ei ⁵⁵	i n t + i n c t + i n t + i m n t	l ə̆ ⁵⁵ + p a n ³¹ + t a ³¹ + ŋ j ei ⁵⁵	68 89 93 4260
#
749	Rangoon	New Year's Day	n̥iʔ⁴tθiʔ⁴	n̥ i ʔ ⁴ + tθ i ʔ ⁴	i n c t + i n c t	n̥ i ʔ ⁴ + tθ i ʔ ⁴	105 106
5678	Atsi	New Year's Day	tsan⁵¹sik⁵⁵	ts a n ⁵¹ + s i k ⁵⁵	i n c t + i n c t	ts a n ⁵¹ + s i k ⁵⁵	103 17711
7380	Maru	New Year's Day	tsəŋ³¹sa̱k⁵⁵	ts ə ŋ ³¹ + ˀs a k ⁵⁵	i n c t + i n c t	ts ə ŋ ³¹ + ˀs a k ⁵⁵	103 17711
9059	Bola	New Year's Day	tɛ̃⁵⁵sak⁵⁵	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	i n c t + i n c t	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	103 17711
10711	Lashi	New Year's Day	tsan³¹sə̱k⁵⁵	ts a n ³¹ + ˀs ə k ⁵⁵	i n c t + i n c t	ts a n ³¹ + ˀs ə k ⁵⁵	103 17711
#
1811	Rangoon	New Year's Day (in Burmese system, around April)	tθĩ⁵⁵tɕɑ̃²²	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	i n c t + i n c t	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	114 115
#
164	Rangoon	Tibetan	ti⁵³bɛʔ⁴lu²²mjo⁵⁵	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i n c t + i n t + i m n t	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	123 124 2402 125
5098	Atsi	Tibetan	muŋ²¹phaŋ⁵⁵	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	i n c t + i n c t	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	117 118
6870	Maru	Tibetan	tsaŋ³⁵tshuʔ ³¹	ts a ŋ ³⁵ + tsh u ʔ ³¹	i n c t + i n c t	ts a ŋ ³⁵ + tsh u ʔ ³¹	119 122
8504	Bola	Tibetan	tsaŋ ³⁵	ts a ŋ ³⁵	i n c t	ts a ŋ ³⁵	119
10228	Lashi	Tibetan	lə̆³¹sɿ³³	l ə̆ ³¹ + s ɿ ³³	i n t + i n t	l ə̆ ³¹ + s ɿ ³³	2402 121
#
744	Rangoon	Tuesday	ĩ²²gɑ²²	/ʔ ĩ ∼ ²² + g ɑ ²²	i n c t + i n t	/ʔ ĩ ∼ ²² + g ɑ ²²	135 136
5673	Atsi	Tuesday	jĭ⁵¹pan²¹thaŋ⁵¹i⁵⁵ŋji⁵⁵	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	129 130 131 17934 133
9054	Bola	Tuesday	lə̆³¹pan⁵¹i̱³⁵	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ i ³⁵	i n t + i n c t + i n t	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ i ³⁵	134 130 17934
#
1098	Rangoon	accomplish / succeed	pji⁵⁵mjɑuʔ⁴	p j i ⁵⁵ + m j ɑ u ʔ ⁴	i m n t + i m n N c t	p j i ⁵⁵ + m j ɑ u ʔ ⁴	141 142
6033	Atsi	accomplish / succeed	pa̱n⁵⁵	ˀp a n ⁵⁵	i n c t	ˀp a n ⁵⁵	140
7706	Maru	accomplish / succeed	pəŋ³¹	p ə ŋ ³¹	i n c t	p ə ŋ ³¹	140
9408	Bola	accomplish / succeed	pɛ̃⁵⁵	p ɛ̃ ∼ ⁵⁵	i n c t	p ɛ̃ ∼ ⁵⁵	140
#
1304	Rangoon	accumulate	su⁵³	s u ⁵³	i n t	s u ⁵³	148
3029	Achang_Longchuan	accumulate	xʐɔm³⁵	x ʐ ɔ m ³⁵	i m n c t	x ʐ ɔ m ³⁵	146
6238	Atsi	accumulate	tsi̱ŋ²¹	ˀts i ŋ ²¹	i n c t	ˀts i ŋ ²¹	2256
11189	Lashi	accumulate	tsə̱ːŋ⁵⁵	ˀts əː ŋ ⁵⁵	i n c t	ˀts əː ŋ ⁵⁵	2256
#
1608	Rangoon	accustomed to, be / habit of, haveve	ɑ⁵³tɕĩ⁵³	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	i n t + i n c t	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	153 154
3317	Achang_Longchuan	accustomed to, be / habit of, haveve	ȵ̥am³¹	ȵ̥ a m ³¹	i n c t	ȵ̥ a m ³¹	151
6543	Atsi	accustomed to, be / habit of, haveve	man⁵⁵	m a n ⁵⁵	i n c t	m a n ⁵⁵	152
8177	Maru	accustomed to, be / habit of, haveve	məŋ⁵⁵	m ə ŋ ⁵⁵	i n c t	m ə ŋ ⁵⁵	152
9904	Bola	accustomed to, be / habit of, haveve	mɛ̃³⁵	m ɛ̃ ∼ ³⁵	i n c t	m ɛ̃ ∼ ³⁵	152
11458	Lashi	accustomed to, be / habit of, haveve	maːn⁵⁵	m aː n ⁵⁵	i n c t	m aː n ⁵⁵	152
#
1562	Rangoon	ache (head)	kɑiʔ⁴	k ɑi ʔ ⁴	i n c t	k ɑi ʔ ⁴	161
3274	Achang_Longchuan	ache (head)	xə³¹	x ə ³¹	i n t	x ə ³¹	159
4744	Xiandao	ache (head)	khɤ³¹	kh ɤ ³¹	i n t	kh ɤ ³¹	159
6497	Atsi	ache (head)	no⁵¹	n o ⁵¹	i n t	n o ⁵¹	8607
8133	Maru	ache (head)	nɔ³¹	n ɔ ³¹	i n t	n ɔ ³¹	8607
9859	Bola	ache (head)	na⁵⁵	n a ⁵⁵	i n t	n a ⁵⁵	8607
11419	Lashi	ache (head)	nɔː³¹	n ɔː ³¹	i n t	n ɔː ³¹	8607
#
1620	Rangoon	admire and envy	ɑ⁵⁵tɕɑ⁵³	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	i n t + i n t	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	171 172
6555	Atsi	admire and envy	mĕ²¹sa²¹	m ĕ ²¹ + s a ²¹	i n t + i n t	m ĕ ²¹ + s a ²¹	167 168
9916	Bola	admire and envy	sə̆³¹kɔ̱t⁵⁵nau⁵⁵	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	i n t + i n c t + i n t	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	168 169 170
#
1101	Rangoon	admit	wũ²²khɑ̃²²	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	i m n c t + i n c t	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	179 180
6036	Atsi	admit	jin⁵⁵	/ʔ j i n ⁵⁵	i m n c t	/ʔ j i n ⁵⁵	175
7709	Maru	admit	mə̆³¹xa³¹	m ə̆ ³¹ + x a ³¹	i n t + i n t	m ə̆ ³¹ + x a ³¹	177 178
9411	Bola	admit	ŋɔt⁵⁵	ŋ ɔ t ⁵⁵	i n c t	ŋ ɔ t ⁵⁵	176
#
166	Rangoon	adult	lu²²tɕi⁵⁵	l u ²² + tɕ i ⁵⁵	i n t + i n t	l u ²² + tɕ - i ⁵⁵	187 183
1985	Achang_Longchuan	adult	tʂo⁵⁵kʐə³¹	tʂ o ⁵⁵ + k ʐ ə ³¹	i n t + i m n t	tʂ o ⁵⁵ + k ʐ ə ³¹	9222 183
3638	Xiandao	adult	tʂu⁵⁵kɯ³¹	tʂ u ⁵⁵ + k ɯ ³¹	i n t + i n t	tʂ u ⁵⁵ + k - ɯ ³¹	9222 183
5100	Atsi	adult	ko̱²¹paŋ²¹	ˀk o ²¹ + p a ŋ ²¹	i n t + i n c t	ˀk - o ²¹ + p a ŋ ²¹	183 184
6872	Maru	adult	ɣə³⁵mɔʔ⁵⁵	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	i n t + i n c t	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	186 185
8506	Bola	adult	kɔ̱⁵⁵maʔ⁵⁵	ˀk ɔ ⁵⁵ + m a ʔ ⁵⁵	i n t + i n c t	ˀk - ɔ ⁵⁵ + m a ʔ ⁵⁵	183 185
10230	Lashi	adult	kji³³paŋ⁵⁵	k j i ³³ + p a ŋ ⁵⁵	i m n t + i n c t	k j i ³³ + p a ŋ ⁵⁵	183 184
#
657	Rangoon	advantage / benefit	kɑ̃u⁵⁵tɕo⁵⁵	k ɑ̃ u ∼ ⁵⁵ + tɕ o ⁵⁵	i n N c t + i n t	k ɑ̃ u ∼ ⁵⁵ + tɕ o ⁵⁵	201 202
2429	Achang_Longchuan	advantage / benefit	tɕi⁵⁵ʐua⁵⁵	tɕ i ⁵⁵ + ʐ ua ⁵⁵	i n t + i n t	tɕ - i ⁵⁵ + ʐ ua ⁵⁵	197 198
4005	Xiandao	advantage / benefit	a³¹cɔ⁵⁵	/ʔ a ³¹ + c ɔ ⁵⁵	i n t + i n t	/ʔ a ³¹ + c - ɔ ⁵⁵	203 197
5586	Atsi	advantage / benefit	kĕ⁵¹vaŋ²¹	k ĕ ⁵¹ + v a ŋ ²¹	i n t + i n c t	k - ĕ ⁵¹ + v a ŋ ²¹	197 199
8970	Bola	advantage / benefit	kai⁵⁵ɣɔ̃³¹	k ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	i n t + i n c t	k - ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	197 199
10638	Lashi	advantage / benefit	kjei³¹tʃaŋ³³	k j ei ³¹ + tʃ a ŋ ³³	i m n t + i n c t	k j ei ³¹ + tʃ a ŋ ³³	197 200
#
1027	Rangoon	affectionate / intimate	khĩ²²	kʰ ĩ ∼ ²²	i n c t	kʰ ĩ ∼ ²²	212
5961	Atsi	affectionate / intimate	a⁵⁵lu̱m²¹	/ʔ a ⁵⁵ + ˀl u m ²¹	i n t + i n c t	/ʔ a ⁵⁵ + ˀl u m ²¹	210 211
#
1269	Rangoon	afraid, be	tɕɑuʔ⁴	tɕ ɑ u ʔ ⁴	i n N c t	tɕ - ɑ u ʔ ⁴	215
3004	Achang_Longchuan	afraid, be	ʐoʔ⁵⁵	ʐ o ʔ ⁵⁵	i n c t	ʐ o ʔ ⁵⁵	214
4511	Xiandao	afraid, be	ju⁵⁵	/ʔ j u ⁵⁵	i m n t	/ʔ j u ⁵⁵	216
6203	Atsi	afraid, be	kjuʔ²¹	k j u ʔ ²¹	i m n c t	k j u - ʔ ²¹	215
7860	Maru	afraid, be	kjauk³¹	k j au k ³¹	i m n c t	k j au - k ³¹	215
9569	Bola	afraid, be	kjauʔ³¹	k j au ʔ ³¹	i m n c t	k j au - ʔ ³¹	215
11165	Lashi	afraid, be	kjuːk³¹	k j uː k ³¹	i m n c t	k j uː - k ³¹	215
12053	Old_Burmese	afraid, be	kro₂k	k r ʊ k ⁴	i m n c t	k r ʊ - k ⁴	215
#
644	Rangoon	age	ɑ⁵³tθɛʔ⁴	/ʔ ɑ ⁵³ + tθ ɛ ʔ ⁴	i n t + i n c t	/ʔ ɑ ⁵³ + tθ ɛ ʔ ⁴	5331 228
2420	Achang_Longchuan	age	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s a k ⁵⁵	5331 224
3999	Xiandao	age	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s a k ⁵⁵	5331 224
5572	Atsi	age	tsan⁵¹vut²¹	ts a n ⁵¹ + v u t ²¹	i n c t + i n c t	ts a n ⁵¹ + v - u t ²¹	103 226
7291	Maru	age	tsəŋ³¹vɛʔ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	i n c t + i n c t	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	103 227
8956	Bola	age	a³¹sak³¹	/ʔ a ³¹ + s a k ³¹	i n t + i n c t	/ʔ a ³¹ + s a k ³¹	5331 224
10626	Lashi	age	tsan³¹wɔt³¹	ts a n ³¹ + /ʔ w ɔ t ³¹	i n c t + i m n c t	ts a n ³¹ + /ʔ w ɔ t ³¹	103 226
#
1380	Rangoon	agree / consent	tɕhĩ²²	tɕʰ ĩ ∼ ²²	i n c t	tɕʰ ĩ ∼ ²²	239
3096	Achang_Longchuan	agree / consent	ka³⁵	k a ³⁵	i n t	k a ³⁵	238
4581	Xiandao	agree / consent	tsui³⁵	ts ui ³⁵	i n t	ts ui ³⁵	241
6313	Atsi	agree / consent	ka̱m⁵⁵	ˀk a m ⁵⁵	i n c t	ˀk a m ⁵⁵	239
7954	Maru	agree / consent	nuk³¹	n u k ³¹	i n c t	n u k ³¹	240
9675	Bola	agree / consent	ka̱m³⁵	ˀk a m ³⁵	i n c t	ˀk a m ³⁵	239
11253	Lashi	agree / consent	ka̱ːm³³	ˀk aː m ³³	i n c t	ˀk aː m ³³	239
#
1666	Rangoon	agree on / arrange	tɕhẽ⁵⁵	tɕʰ ẽ ∼ ⁵⁵	i n c t	tɕʰ ẽ ∼ ⁵⁵	13758
3370	Achang_Longchuan	agree on / arrange	tʂu⁵⁵	tʂ u ⁵⁵	i n t	tʂ u ⁵⁵	246
6601	Atsi	agree on / arrange	niŋ²¹tat²¹	n i ŋ ²¹ + t a t ²¹	i n c t + i n c t	n i ŋ ²¹ + t a t ²¹	247 248
8232	Maru	agree on / arrange	la̱uŋ³¹	ˀl au ŋ ³¹	i n c t	ˀl au ŋ ³¹	250
9960	Bola	agree on / arrange	taŋ³¹	t a ŋ ³¹	i n c t	t a ŋ ³¹	13758
#
20	Rangoon	air; breath	ɑ⁵³ŋwe⁵³	/ʔ ɑ ⁵³ + ŋ w e ⁵³	i n t + i m n t	/ʔ ɑ ⁵³ + ŋ w e ⁵³	254 255
1851	Achang_Longchuan	air; breath	sui⁵⁵	s ui ⁵⁵	i n t	s ui - ⁵⁵	253
3516	Xiandao	air; breath	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	s ɔ ʔ ⁵⁵	253
4957	Atsi	air; breath	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t	s o ʔ ⁵⁵	253
6745	Maru	air; breath	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t	s o ʔ ⁵⁵	253
8371	Bola	air; breath	saʔ⁵⁵	s a ʔ ⁵⁵	i n c t	s a ʔ ⁵⁵	253
10110	Lashi	air; breath	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	s ɔ ʔ ⁵⁵	253
12009	Old_Burmese	air; breath	rhu	r̥ u ²²	i n t	r̥ u - ²²	253
#
425	Rangoon	alcoholic beverage	ɑ⁵³jɛʔ⁴	/ʔ ɑ ⁵³ + /ʔ j ɛ ʔ ⁴	i n t + i m n c t	/ʔ - ɑ - ⁵³ + /ʔ j ɛ ʔ ⁴	264 266
2217	Achang_Longchuan	alcoholic beverage	tsi⁵⁵	ts i ⁵⁵	i n t	ts i ⁵⁵	15499
3857	Xiandao	alcoholic beverage	tsai⁵⁵	ts ai ⁵⁵	i n t	ts ai ⁵⁵	15499
5357	Atsi	alcoholic beverage	i⁵¹	/ʔ i ⁵¹	i n t	/ʔ - i - ⁵¹	264
7105	Maru	alcoholic beverage	i̱k³¹	ˀ/ʔ i k ³¹	i n c t	ˀ/ʔ - i k ³¹	264
8748	Bola	alcoholic beverage	i̱⁵⁵phai³⁵	ˀ/ʔ i ⁵⁵ + ph ai ³⁵	i n t + i n t	ˀ/ʔ - i - ⁵⁵ + ph ai ³⁵	264 265
10451	Lashi	alcoholic beverage	je̱i³³phei⁵⁵	ˀ/ʔ j ei ³³ + ph ei ⁵⁵	i m n t + i n t	ˀ/ʔ j ei - ³³ + ph ei ⁵⁵	264 265
#
1299	Rangoon	alive, become / active	ɕĩ²²	ɕ ĩ ∼ ²²	i n c t	ɕ ĩ ∼ ²²	275
3025	Achang_Longchuan	alive, become / active	tut⁵⁵	t u t ⁵⁵	i n c t	t - u t ⁵⁵	274
4527	Xiandao	alive, become / active	cɛ⁵⁵	c ɛ ⁵⁵	i n t	c - ɛ - ⁵⁵	274
6233	Atsi	alive, become / active	tui⁵¹	t u i ⁵¹	i m n t	t u i - ⁵¹	274
7886	Maru	alive, become / active	tɔi³¹	t ɔi ³¹	i n t	t - ɔi - ³¹	274
9599	Bola	alive, become / active	tui⁵⁵	t ui ⁵⁵	i n t	t - ui - ⁵⁵	274
11186	Lashi	alive, become / active	təː³¹	t əː ³¹	i n t	t - əː - ³¹	274
#
61	Rangoon	alkali / soda	sho²²dɑ²²	sʰ o ²² + d ɑ ²²	i n t + i n t	sʰ o ²² + d ɑ ²²	282 283
#
880	Rangoon	all / everything	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	i n c t + i n t + i m n t	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	294 295 296
2636	Achang_Longchuan	all / everything	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	i m n t + i m n t	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	285 286
4198	Xiandao	all / everything	chot⁵⁵	ch o t ⁵⁵	i n c t	ch o t ⁵⁵	297
5810	Atsi	all / everything	lu̱ŋ⁵⁵la̱ŋ⁵⁵	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	i n c t + i n c t	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	287 288
7511	Maru	all / everything	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	i n c t + i n c t	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	89 304
9191	Bola	all / everything	a³¹la̱p⁵⁵	/ʔ a ³¹ + ˀl a p ⁵⁵	i n t + i n c t	/ʔ a ³¹ + ˀl a p ⁵⁵	289 290
10839	Lashi	all / everything	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ˀʃ ɔ ʔ ⁵⁵	i n c t + i n c t	p a n ³¹ + ˀʃ ɔ ʔ ⁵⁵	89 304
11610	Old_Burmese	all / everything	kun	k u n ²²	i n c t	k u n ²²	293
#
881	Rangoon	all / whole, the	ɑ⁵⁵lõ⁵⁵	/ʔ ɑ ⁵⁵ + l õ ∼ ⁵⁵	i n t + i n c t	/ʔ ɑ ⁵⁵ + l õ ∼ ⁵⁵	305 306
