# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE
2429	Achang_Longchuan	advantage / benefit	655	tɕi⁵⁵ʐua⁵⁵	tɕ i ⁵⁵ + ʐ ua ⁵⁵	i n t + i n t
4005	Xiandao	advantage / benefit	655	a³¹cɔ⁵⁵	/ʔ a ³¹ + c ɔ ⁵⁵	i n t + i n t
5586	Atsi	advantage / benefit	655	kĕ⁵¹vaŋ²¹	k ĕ ⁵¹ + v a ŋ ²¹	i n t + i n c t
8970	Bola	advantage / benefit	655	kai⁵⁵ɣɔ̃³¹	k ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	i n t + i n c t
10638	Lashi	advantage / benefit	655	kjei³¹tʃaŋ³³	k j ei ³¹ + tʃ a ŋ ³³	i m n t + i n c t
#
1027	Rangoon	affectionate / intimate	1023	khĩ²²	kʰ ĩ ∼ ²²	i n c t
5961	Atsi	affectionate / intimate	1023	a⁵⁵lu̱m²¹	/ʔ a ⁵⁵ + ˀl u m ²¹	i n t + i n c t
#
1269	Rangoon	afraid, be	1262	tɕɑuʔ⁴	tɕ ɑ u ʔ ⁴	i n N c t
3004	Achang_Longchuan	afraid, be	1262	ʐoʔ⁵⁵	ʐ o ʔ ⁵⁵	i n c t
4511	Xiandao	afraid, be	1262	ju⁵⁵	/ʔ j u ⁵⁵	i m n t
6203	Atsi	afraid, be	1262	kjuʔ²¹	k j u ʔ ²¹	i m n c t
7860	Maru	afraid, be	1262	kjauk³¹	k j au k ³¹	i m n c t
9569	Bola	afraid, be	1262	kjauʔ³¹	k j au ʔ ³¹	i m n c t
11165	Lashi	afraid, be	1262	kjuːk³¹	k j uː k ³¹	i m n c t
12053	Old_Burmese	afraid, be	1262	kro₂k	k r ʊ k ⁴	i m n c t
#
644	Rangoon	age	642	ɑ⁵³tθɛʔ⁴	/ʔ ɑ ⁵³ + tθ ɛ ʔ ⁴	i n t + i n c t
2420	Achang_Longchuan	age	642	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t
3999	Xiandao	age	642	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t
5572	Atsi	age	642	tsan⁵¹vut²¹	ts a n ⁵¹ + v u t ²¹	i n c t + i n c t
7291	Maru	age	642	tsəŋ³¹vɛʔ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	i n c t + i n c t
8956	Bola	age	642	a³¹sak³¹	/ʔ a ³¹ + s a k ³¹	i n t + i n c t
10626	Lashi	age	642	tsan³¹wɔt³¹	ts a n ³¹ + /ʔ w ɔ t ³¹	i n c t + i m n c t
#
1380	Rangoon	agree / consent	1369	tɕhĩ²²	tɕʰ ĩ ∼ ²²	i n c t
3096	Achang_Longchuan	agree / consent	1369	ka³⁵	k a ³⁵	i n t
4581	Xiandao	agree / consent	1369	tsui³⁵	ts ui ³⁵	i n t
6313	Atsi	agree / consent	1369	ka̱m⁵⁵	ˀk a m ⁵⁵	i n c t
7954	Maru	agree / consent	1369	nuk³¹	n u k ³¹	i n c t
9675	Bola	agree / consent	1369	ka̱m³⁵	ˀk a m ³⁵	i n c t
11253	Lashi	agree / consent	1369	ka̱ːm³³	ˀk aː m ³³	i n c t
#
1666	Rangoon	agree on / arrange	1651	tɕhẽ⁵⁵	tɕʰ ẽ ∼ ⁵⁵	i n c t
3370	Achang_Longchuan	agree on / arrange	1651	tʂu⁵⁵	tʂ u ⁵⁵	i n t
6601	Atsi	agree on / arrange	1651	niŋ²¹tat²¹	n i ŋ ²¹ + t a t ²¹	i n c t + i n c t
8232	Maru	agree on / arrange	1651	la̱uŋ³¹	ˀl au ŋ ³¹	i n c t
9960	Bola	agree on / arrange	1651	taŋ³¹	t a ŋ ³¹	i n c t
#
20	Rangoon	air; breath	20	ɑ⁵³ŋwe⁵³	/ʔ ɑ ⁵³ + ŋ w e ⁵³	i n t + i m n t
1851	Achang_Longchuan	air; breath	20	sui⁵⁵	s ui ⁵⁵	i n t
3516	Xiandao	air; breath	20	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t
4957	Atsi	air; breath	20	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t
6745	Maru	air; breath	20	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t
8371	Bola	air; breath	20	saʔ⁵⁵	s a ʔ ⁵⁵	i n c t
10110	Lashi	air; breath	20	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t
12009	Old_Burmese	air; breath	20	rhu	r̥ u ²²	i n t
#
425	Rangoon	alcoholic beverage	423	ɑ⁵³jɛʔ⁴	/ʔ ɑ ⁵³ + /ʔ j ɛ ʔ ⁴	i n t + i m n c t
2217	Achang_Longchuan	alcoholic beverage	423	tsi⁵⁵	ts i ⁵⁵	i n t
3857	Xiandao	alcoholic beverage	423	tsai⁵⁵	ts ai ⁵⁵	i n t
5357	Atsi	alcoholic beverage	423	i⁵¹	/ʔ i ⁵¹	i n t
7105	Maru	alcoholic beverage	423	i̱k³¹	ˀ/ʔ i k ³¹	i n c t
8748	Bola	alcoholic beverage	423	i̱⁵⁵phai³⁵	ˀ/ʔ i ⁵⁵ + ph ai ³⁵	i n t + i n t
10451	Lashi	alcoholic beverage	423	je̱i³³phei⁵⁵	ˀ/ʔ j ei ³³ + ph ei ⁵⁵	i m n t + i n t
#
1299	Rangoon	alive, become / active	1290	ɕĩ²²	ɕ ĩ ∼ ²²	i n c t
3025	Achang_Longchuan	alive, become / active	1290	tut⁵⁵	t u t ⁵⁵	i n c t
4527	Xiandao	alive, become / active	1290	cɛ⁵⁵	c ɛ ⁵⁵	i n t
6233	Atsi	alive, become / active	1290	tui⁵¹	t u i ⁵¹	i m n t
7886	Maru	alive, become / active	1290	tɔi³¹	t ɔi ³¹	i n t
9599	Bola	alive, become / active	1290	tui⁵⁵	t ui ⁵⁵	i n t
11186	Lashi	alive, become / active	1290	təː³¹	t əː ³¹	i n t
#
61	Rangoon	alkali / soda	61	sho²²dɑ²²	sʰ o ²² + d ɑ ²²	i n t + i n t
#
880	Rangoon	all / everything	877	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	i n c t + i n t + i m n t
2636	Achang_Longchuan	all / everything	877	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	i m n t + i m n t
4198	Xiandao	all / everything	877	chot⁵⁵	ch o t ⁵⁵	i n c t
5810	Atsi	all / everything	877	lu̱ŋ⁵⁵la̱ŋ⁵⁵	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	i n c t + i n c t
7511	Maru	all / everything	877	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	i n c t + i n c t
9191	Bola	all / everything	877	a³¹la̱p⁵⁵	/ʔ a ³¹ + ˀl a p ⁵⁵	i n t + i n c t
10839	Lashi	all / everything	877	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ˀʃ ɔ ʔ ⁵⁵	i n c t + i n c t
11610	Old_Burmese	all / everything	877	kun	k u n ²²	i n c t
#
881	Rangoon	all / whole, the	878	ɑ⁵⁵lõ⁵⁵	/ʔ ɑ ⁵⁵ + l õ ∼ ⁵⁵	i n t + i n c t
2637	Achang_Longchuan	all / whole, the	878	pʐa⁵⁵ pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	i m n t + i m n t
4199	Xiandao	all / whole, the	878	chot⁵⁵	ch o t ⁵⁵	i n c t
5811	Atsi	all / whole, the	878	pan²¹ʃoʔ⁵⁵	p a n ²¹ + ʃ o ʔ ⁵⁵	i n c t + i n c t
7512	Maru	all / whole, the	878	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	i n c t + i n c t
9192	Bola	all / whole, the	878	pɛ̃⁵⁵ʃaʔ⁵⁵	p ɛ̃ ∼ ⁵⁵ + ʃ a ʔ ⁵⁵	i n c t + i n c t
10840	Lashi	all / whole, the	878	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ˀʃ ɔ ʔ ⁵⁵	i n c t + i n c t
#
1029	Rangoon	alone	1025	tɑ⁵³jɑuʔ⁴thɛ⁵⁵	t ɑ ⁵³ + /ʔ j ɑ u ʔ ⁴ + tʰ ɛ ⁵⁵	i n t + i m n N c t + i n t
5963	Atsi	alone	1025	pau⁵⁵tsă²¹	p a u ⁵⁵ + ts ă ²¹	i n N t + i n t
7646	Maru	alone	1025	tă³¹jauk³¹	t ă ³¹ + /ʔ j au k ³¹	i n t + i m n c t
9340	Bola	alone	1025	jɔ̃³¹	/ʔ j ɔ̃ ∼ ³¹	i m n c t
10966	Lashi	alone	1025	ŋjan³¹puk⁵⁵	ŋ j a n ³¹ + /ʔ p u k ⁵⁵	i m n c t + i m n i t
#
1064	Rangoon	alter	1060	pjɑ̃u⁵⁵se²²	p j ɑ̃ u ∼ ⁵⁵ + s e ²²	i m n N c t + i n t
2814	Achang_Longchuan	alter	1060	pen³⁵	p e n ³⁵	i n c t
5999	Atsi	alter	1060	lo̱ʔ⁵⁵lai⁵⁵	ˀl o ʔ ⁵⁵ + l a i ⁵⁵	i n c t + i n N t
9375	Bola	alter	1060	tøʔ³¹nɔ̱̃⁵⁵	t ø ʔ ³¹ + ˀn ɔ̃ ∼ ⁵⁵	i n c t + i n c t
10994	Lashi	alter	1060	sa̱ːi⁵³lə̱ːk⁵⁵	ˀs aːi ⁵³ + ˀl əː k ⁵⁵	i n t + i n c t
#
56	Rangoon	aluminum	56	dɑ̃²²	d ɑ̃ ∼ ²²	i n c t
4993	Atsi	aluminum	56	tan⁵⁵	t a n ⁵⁵	i n c t
6777	Maru	aluminum	56	tsha³¹	tsh a ³¹	i n t
8404	Bola	aluminum	56	saŋ⁵⁵phɔ⁵⁵	s a ŋ ⁵⁵ + ph ɔ ⁵⁵	i n c t + i n t
#
213	Rangoon	ancestors / forebears	213	pho⁵⁵bwɑ⁵⁵bi²²bĩ²²	pʰ o ⁵⁵ + b w ɑ ⁵⁵ + b i ²² + b ĩ ∼ ²²	i n t + i m n t + i n t + i n c t
2027	Achang_Longchuan	ancestors / forebears	213	len³⁵	l e n ³⁵	i n c t
3679	Xiandao	ancestors / forebears	213	lin³⁵	l i n ³⁵	i n c t
5146	Atsi	ancestors / forebears	213	tʃi̱⁵⁵vo̱i⁵⁵	ˀtʃ i ⁵⁵ + ˀv o i ⁵⁵	i n t + i n N t
6913	Maru	ancestors / forebears	213	phuk⁵⁵phjik⁵⁵	ph u k ⁵⁵ + ph j i k ⁵⁵	i n c t + i m n c t
8550	Bola	ancestors / forebears	213	phau³⁵phi³¹	ph au ³⁵ + ph i ³¹	i n t + i n t
10268	Lashi	ancestors / forebears	213	phou⁵⁵phji⁵⁵	ph ou ⁵⁵ + ph j i ⁵⁵	i n t + i m n t
#
738	Rangoon	ancient times, in	735	ɕe⁵⁵tθɑ⁵³jɑ̃²²jɔ⁵⁵ɑ⁵³khɑ²²	ɕ e ⁵⁵ + tθ ɑ ⁵³ + /ʔ j ɑ̃ ∼ ²² + /ʔ j ɔ ⁵⁵ + /ʔ ɑ ⁵³ + kʰ ɑ ²²	i n t + i n t + i m n c t + i m n t + i n t + i n t
2498	Achang_Longchuan	ancient times, in	735	ku³¹lai⁵⁵	k u ³¹ + l ai ⁵⁵	i n t + i n t
4071	Xiandao	ancient times, in	735	kɔ̆³⁵lai⁵⁵	k ɔ̆ ³⁵ + l ai ⁵⁵	i n t + i n t
5667	Atsi	ancient times, in	735	a²¹na̱m²¹	/ʔ a ²¹ + ˀn a m ²¹	i n t + i n c t
7374	Maru	ancient times, in	735	a³¹pja̱t³¹	/ʔ a ³¹ + ˀp j a t ³¹	i n t + i m n c t
9048	Bola	ancient times, in	735	kə̆³¹la̱ŋ⁵⁵	k ə̆ ³¹ + ˀl a ŋ ⁵⁵	i n t + i n c t
10703	Lashi	ancient times, in	735	ko⁵⁵la̱ŋ³³ko⁵⁵na̱m⁵³	k o ⁵⁵ + ˀl a ŋ ³³ + k o ⁵⁵ + ˀn a m ⁵³	i n t + i n c t + i n t + i n c t
#
1518	Rangoon	angry, be / take offense	1506	dɔ⁵⁵pwɑ⁵³	d ɔ ⁵⁵ + p w ɑ ⁵³	i n t + i m n t
3229	Achang_Longchuan	angry, be / take offense	1506	tsit⁵⁵	ts i t ⁵⁵	i n c t
4704	Xiandao	angry, be / take offense	1506	tsit⁵⁵	ts i t ⁵⁵	i n c t
6452	Atsi	angry, be / take offense	1506	ni̱k⁵⁵ jo²¹	ˀn i k ⁵⁵ + /ʔ j o ²¹	i n c t + i m n t
8088	Maru	angry, be / take offense	1506	na̱k⁵⁵ jo³¹	ˀn a k ⁵⁵ + /ʔ j o ³¹	i n c t + i m n t
9814	Bola	angry, be / take offense	1506	na̱k⁵⁵tʃam³¹ja³¹	ˀn a k ⁵⁵ + tʃ a m ³¹ + /ʔ j a ³¹	i n c t + i n c t + i m n t
11379	Lashi	angry, be / take offense	1506	nə̱k⁵⁵jɔː³³	ˀn ə k ⁵⁵ + /ʔ j ɔː ³³	i n c t + i m n t
11862	Old_Burmese	angry, be / take offense	1506	myak	m j a k ⁴	i m n c t
#
1786	Rangoon	animal / beast (note:+carnivore)	1769	tθɑ⁵⁵jɛ⁵⁵ti⁵³reʔ⁴shɑ̃²²	tθ ɑ ⁵⁵ + /ʔ j ɛ ⁵⁵ + t i ⁵³ + r e ʔ ⁴ + sʰ ɑ̃ ∼ ²²	i n t + i m n t + i n t + i n c t + i n c t
6715	Atsi	animal / beast (note:+carnivore)	1769	tu²¹sat²¹	t u ²¹ + s a t ²¹	i n t + i n c t
10077	Bola	animal / beast (note:+carnivore)	1769	sɛ̃⁵⁵ja³¹tsai⁵⁵	s ɛ̃ ∼ ⁵⁵ + /ʔ j a ³¹ + ts ai ⁵⁵	i n c t + i m n t + i n t
11602	Lashi	animal / beast (note:+carnivore)	1769	sei⁵⁵jɔ³¹	s ei ⁵⁵ + /ʔ j ɔ ³¹	i n t + i m n t
#
1810	Rangoon	animals (twelve) (different system but analogous)	1793	ne⁵³nɑ̃²²	n e ⁵³ + /ʔ n ɑ � ²²	i n t + i m n � t
#
4056	Xiandao	animals (twelve) representing the twelve years	1856	an³⁵	/ʔ a n ³⁵	i n c t
5651	Atsi	animals (twelve) representing the twelve years	1856	tsan⁵¹vut⁵⁵	ts a n ⁵¹ + v u t ⁵⁵	i n c t + i n c t
9032	Bola	animals (twelve) representing the twelve years	1856	tɛ̃⁵⁵vɛʔ⁵⁵lun³¹	t ɛ̃ ∼ ⁵⁵ + v ɛ ʔ ⁵⁵ + l u n ³¹	i n c t + i n c t + i n c t
#
