ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO
1865	b øː k ə b oː m	*bōkō	b øː k ( ə b oː m )	bøːkəboːm	beukeboom	511	Dutch				beech	*bōkō
1151	g e nː a n a n	*gennanan	( - - ) g e nː a n ( a n )	gennanan	*gennanan	316	Proto-Germanic		C V c v c		begin	*gennanan
1152	b ə ɡ ɪ n ə n	*gennanan	( b ə ) ɡ ɪ n ə n ( - - )	bəɡɪnən	beginnen	316	German				begin	*gennanan
1153	b ɪ ɡ ɪ n	*gennanan	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	begin	316	English				begin	*gennanan
1154	b ə ɣ ɪ n ə	*gennanan	( b ə ) ɣ ɪ n ə - ( - - )	bəɣɪnə	beginnen	316	Dutch				begin	*gennanan
263	l au b j a n a n	*laubjanan	( - - ) l au b j a n ( a n )	laubjanan	*laubjanan	73	Proto-Germanic		C V c c v c		believe	*laubjanan
264	ɡ l au b ə n	*laubjanan	( ɡ - ) l au b - ə n ( - - )	ɡlaubən	glauben	73	German				believe	*laubjanan
265	b ɪ l iː v	*laubjanan	( b ɪ ) l iː v - - - ( - - )	bɪliːv	believe	73	English				believe	*laubjanan
266	x ə l oː v ə	*laubjanan	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch				believe	*laubjanan
1685	b a l g i z	*balgiz	b a l g ( i z )	balgiz	*balgiz	462	Proto-Germanic				belly	*balgiz
1686	b a l k	*balgiz	b a l k ( - - )	balk	Balg	462	German		C V C C		belly	*balgiz
1687	b ɛ l ɪ	*balgiz	b ɛ l ɪ ( - - )	bɛlɪ	belly	462	English				belly	*balgiz
1688	b ɑ l x	*balgiz	b ɑ l x ( - - )	bɑlx	balg	462	Dutch				belly	*balgiz
259	b a z j a n	*bazjan	b a z j ( a n )	bazjan	*bazjan	72	Proto-Germanic		C V C C		berry	*bazjan
260	b eː r ə	*bazjan	b eː r - ( ə - )	beːrə	Beere	72	German				berry	*bazjan
261	b ɛ r ɪ	*bazjan	b ɛ r - ( ɪ - )	bɛrɪ	berry	72	English				berry	*bazjan
262	b ɛ s	*bazjan	b ɛ s - ( - - )	bɛs	bes	72	Dutch				berry	*bazjan
543	b eu d a n a n	*beudanan	b eu d a n ( a n )	beudanan	*beudanan	149	Proto-Germanic		C V c v c		bid	*beudanan
544	b iː t ə n	*beudanan	b iː t ə n ( - - )	biːtən	bieten	149	German				bid	*beudanan
545	b ɪ d	*beudanan	b ɪ d - - ( - - )	bɪd	bid	149	English				bid	*beudanan
546	b iː d ə	*beudanan	b iː d ə - ( - - )	biːdə	bieden	149	Dutch				bid	*beudanan
1450	b i d j a n a n	*bidjanan	b i d j a n ( a n )	bidjanan	*bidjanan	397	Proto-Germanic		C V c c v c		bid	*bidjanan
1451	b ɪ t ə n	*bidjanan	b ɪ t - ə n ( - - )	bɪtən	bitten	397	German				bid	*bidjanan
1452	b ɪ d	*bidjanan	b ɪ d - - - ( - - )	bɪd	bid	397	English				bid	*bidjanan
1453	b ɪ d ə	*bidjanan	b ɪ d - ə - ( - - )	bɪdə	bidden	397	Dutch				bid	*bidjanan
469	b a r w oː n	*barwōn	b a r ( w oː n )	barwoːn	*barwōn	129	Proto-Germanic				bier	*barwōn
470	b aː r ə	*barwōn	b aː r ( - ə - )	baːrə	Bahre	129	German		C V C		bier	*barwōn
471	b ɪə r	*barwōn	b ɪə r ( - - - )	bɪər	bier	129	English				bier	*barwōn
472	b aː r	*barwōn	b aː r ( - - - )	baːr	baar	129	Dutch				bier	*barwōn
581	b e n d a n a n	*bendanan	b e n d a n ( a n )	bendanan	*bendanan	160	Proto-Germanic		C V C c v c		bind	*bendanan
582	b ɪ n d ə n	*bendanan	b ɪ n d ə n ( - - )	bɪndən	binden	160	German				bind	*bendanan
583	b aɪ n d	*bendanan	b aɪ n d - - ( - - )	baɪnd	bind	160	English				bind	*bendanan
584	b ɪ n d ə	*bendanan	b ɪ n d ə - ( - - )	bɪndə	binden	160	Dutch				bind	*bendanan
387	b u r d i z	*burdiz	( - - ) b u r d ( i z )	burdiz	*burdiz	107	Proto-Germanic		C V C C		birth	*burdiz
388	ɡ ə b uː r t	*burdiz	( ɡ ə ) b uː r t ( - - )	ɡəbuːrt	Geburt	107	German				birth	*burdiz
389	b ɜː θ	*burdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	birth	107	English				birth	*burdiz
390	x ə b oː r t ə	*burdiz	( x ə ) b oː r t ( ə - )	xəboːrtə	geboorte	107	Dutch				birth	*burdiz
853	b l oː d a n	*blōdan	b l oː d ( a n )	bloːdan	*blōdan	235	Proto-Germanic		CC V C		blood	*blōdan
854	b l uː t	*blōdan	b l uː t ( - - )	bluːt	Blut	235	German				blood	*blōdan
855	b l ʌ d	*blōdan	b l ʌ d ( - - )	blʌd	blood	235	English				blood	*blōdan
856	b l uː t	*blōdan	b l uː t ( - - )	bluːt	bloed	235	Dutch				blood	*blōdan
1299	b u r d a n	*burdan	b u r d ( a n )	burdan	*burdan	357	Proto-Germanic		C V C C		board	*burdan
1300	b ɔ r d/t	*burdan	b ɔ r d/t ( - - )	bɔrt	Bord	357	German	BOR		Low German	board	*burdan
1301	b ɔː d	*burdan	b ɔː - d ( - - )	bɔːd	board	357	English				board	*burdan
1302	b ɔ r t	*burdan	b ɔ r t ( - - )	bɔrt	bord	357	Dutch				board	*burdan
1034	b ai n a n	*bainan	b ai n ( a n )	bainan	*bainan	284	Proto-Germanic				bone	*bainan
1035	b ai n	*bainan	b ai n ( - - )	bain	Bein	284	German		C V C		bone	*bainan
1036	b əʊ n	*bainan	b əʊ n ( - - )	bəʊn	bone	284	English				bone	*bainan
1037	b eː n	*bainan	b eː n ( - - )	beːn	been	284	Dutch				bone	*bainan
934	b oː k z	*bōkz	b oː k ( z )	boːkz	*bōkz	257	Proto-Germanic		C V C		book	*bōkz
935	b uː x	*bōkz	b uː x ( - )	buːx	Buch	257	German				book	*bōkz
936	b ʊ k	*bōkz	b ʊ k ( - )	bʊk	book	257	English				book	*bōkz
937	b uː k	*bōkz	b uː k ( - )	buːk	boek	257	Dutch				book	*bōkz
379	b u r oː j a n a n	*burōjanan	b u r ( oː ) j a n ( a n )	buroːjanan	*burōjanan	105	Proto-Germanic		C V c c v c		bore	*burōjanan
380	b oː r ə n	*burōjanan	b oː r ( - ) - ə n ( - - )	boːrən	bohren	105	German				bore	*burōjanan
381	b ɔː r	*burōjanan	b ɔː r ( - ) - - - ( - - )	bɔːr	bore	105	English				bore	*burōjanan
382	b oː r ə	*burōjanan	b oː r ( - ) - ə - ( - - )	boːrə	boren	105	Dutch				bore	*burōjanan
23	b oː s m a z	*bōsmaz	b oː s - m ( a z )	boːsmaz	*bōsmaz	7	Proto-Germanic		C V c - c		bosom	*bōsmaz
24	b uː z ə n	*bōsmaz	b uː z ə n ( - - )	buːzən	Busen	7	German				bosom	*bōsmaz
25	b ʊ z ə m	*bōsmaz	b ʊ z ə m ( - - )	bʊzəm	bosom	7	English				bosom	*bōsmaz
26	b uː z ə m	*bōsmaz	b uː z ə m ( - - )	buːzəm	boezem	7	Dutch				bosom	*bōsmaz
638	b oː	*bō	b oː ( - - )	boː	*bō	176	Proto-Germanic		C V		both	*bō
639	b ai d ə	*bō	b ai ( d ə )	baidə	beide	176	German				both	*bō
640	b əʊ θ	*bō	b əʊ ( θ - )	bəʊθ	both	176	English				both	*bō
641	b ɛɪ d ə	*bō	b ɛɪ ( d ə )	bɛɪdə	beide	176	Dutch				both	*bō
815	b u θ m a z	*budmaz	b u θ - m ( a z )	budmaz	*budmaz	224	Proto-Germanic		C V C C		bottom	*budmaz
816	b oː d ə n	*budmaz	b oː d ə n ( - - )	boːdən	Boden	224	German	BOR			bottom	*budmaz
817	b ɔ t ə m	*budmaz	b ɔ t ə m ( - - )	bɔtəm	bottom	224	English				bottom	*budmaz
818	b oː d ə m	*budmaz	b oː d ə m ( - - )	boːdəm	bodem	224	Dutch				bottom	*budmaz
222	b oː g u z	*bōguz	b oː g ( u z )	boːguz	*bōguz	62	Proto-Germanic		C V C		bough	*bōguz
223	b uː k	*bōguz	b uː k ( - - )	buːk	Bug	62	German				bough	*bōguz
224	b aʊ	*bōguz	b aʊ - ( - - )	baʊ	bough	62	English				bough	*bōguz
1295	b au g j a n a n	*baugjanan	b au g j a n ( a n )	baugjanan	*baugjanan	356	Proto-Germanic		C V c c v c		bow	*baugjanan
1296	b ɔy ɡ ə n	*baugjanan	b ɔy ɡ - ə n ( - - )	bɔyɡən	beugen	356	German		C V c - v c		bow	*baugjanan
1297	b əʊ	*baugjanan	b əʊ - - - - ( - - )	bəʊ	bow	356	English				bow	*baugjanan
1298	b œy ɣ ə	*baugjanan	b œy ɣ - ə - ( - - )	bœyɣə	buigen	356	Dutch				bow	*baugjanan
927	b eu g a n a n	*beuganan	b eu g a n ( a n )	beuganan	*beuganan	255	Proto-Germanic		C V c v c		bow	*beuganan
928	b iː ɡ ə n	*beuganan	b iː ɡ ə n ( - - )	biːɡən	biegen	255	German				bow	*beuganan
929	b əʊ	*beuganan	b əʊ - - - ( - - )	bəʊ	bow	255	English				bow	*beuganan
930	b œy ɣ ə	*beuganan	b œy ɣ ə - ( - - )	bœyɣə	buigen	255	Dutch				bow	*beuganan
1417	b u g oː n	*bugōn	b u g oː n	bugoːn	*bugōn	388	Proto-Germanic		C V C		bow	*bugōn
1418	b oː ɡ ə n	*bugōn	b oː ɡ ə n	boːɡən	Bogen	388	German				bow	*bugōn
1419	b əʊ	*bugōn	b əʊ - - -	bəʊ	bow	388	English				bow	*bugōn
1420	b oː x	*bugōn	b oː x - -	boːx	boog	388	Dutch				bow	*bugōn
1030	b uː r a n	*būran	b uː - r ( a n )	buːran	*būran	283	Proto-Germanic		C V - C		bower	*būran
1031	b au ə r	*būran	b au ə r ( - - )	bauər	Bauer	283	German				bower	*būran
1032	b aʊ ə r	*būran	b aʊ ə r ( - - )	baʊər	bower	283	English				bower	*būran
1033	b uː r	*būran	b uː - r ( - - )	buːr	boer	283	Dutch				bower	*būran
795	b r a n d a z	*brandaz	b r a n d ( a z )	brandaz	*brandaz	218	Proto-Germanic		C C V C C		brand	*brandaz
796	b r a n t	*brandaz	b r a n d ( - - )	brant	Brand	218	German				brand	*brandaz
797	b r æ n d	*brandaz	b r æ n d ( - - )	brænd	brand	218	English				brand	*brandaz
798	b r ɑ n t	*brandaz	b r ɑ n t ( - - )	brɑnt	brand	218	Dutch				brand	*brandaz
1155	b r au d a n	*braudan	b r au d ( a n )	braudan	*braudan	317	Proto-Germanic		C C V C		bread	*braudan
1156	b r oː t	*braudan	b r oː t ( - - )	broːt	Brot	317	German				bread	*braudan
1157	b r ɛ d	*braudan	b r ɛ d ( - - )	brɛd	bread	317	English				bread	*braudan
1158	b r oː t	*braudan	b r oː t ( - - )	broːt	brood	317	Dutch				bread	*braudan
500	b r e k a n a n	*brekanan	b r e k a n ( a n )	brekanan	*brekanan	137	Proto-Germanic		C C V c v c		break	*brekanan
501	b r ɛ x ə n	*brekanan	b r ɛ x ə n ( - - )	brɛxən	brechen	137	German				break	*brekanan
502	b r eɪ k	*brekanan	b r eɪ k - - ( - - )	breɪk	break	137	English				break	*brekanan
503	b r eː k ə	*brekanan	b r eː k ə - ( - - )	breːkə	breken	137	Dutch				break	*brekanan
1770	b r u s t z	*brustz	b - r u s t ( z )	brustz	*brustz	485	Proto-Germanic		C - C V C C		breast	*brustz
1771	b r ʊ s t	*brustz	b - r ʊ s t ( - )	brʊst	Brust	485	German				breast	*brustz
1772	b r ɛ s t	*brustz	b - r ɛ s t ( - )	brɛst	breast	485	English				breast	*brustz
1773	b ɔ r s t	*brustz	b ɔ r - s t ( - )	bɔrst	borst	485	Dutch				breast	*brustz
1513	b r o k a n	*brekanan	b r o k ( a n )	brekanan	*brekanan	415	Proto-Germanic		C C V C		breeches	*brekanan
1514	b r ʊ x	*brekanan	b r ʊ x ( - - )	brʊx	Bruch	415	German				breeches	*brekanan
1515	b r ʊ k	*brekanan	b r ʊ k ( - - )	brʊk	breeches	415	English				breeches	*brekanan
1516	b r uː k	*brekanan	b r uː k ( - - )	bruːk	broek	415	Dutch				breeches	*brekanan
293	b r uː d i z	*brūdiz	b r uː d ( i z )	bruːdiz	*brūdiz	82	Proto-Germanic		C C V C		bride	*brūdiz
294	b r au t	*brūdiz	b r au t ( - - )	braut	Braut	82	German				bride	*brūdiz
295	b r aɪ d	*brūdiz	b r aɪ d ( - - )	braɪd	bride	82	English				bride	*brūdiz
296	b r œy t	*brūdiz	b r œy t ( - - )	brœyt	bruid	82	Dutch				bride	*brūdiz
1649	b r e n g a n a n	*brenganan	b r e n g a n ( a n )	brenganan	*brenganan	453	Proto-Germanic		C C V C c v c		bring	*brenganan
1650	b r ɪ ŋ ə n	*brenganan	b r ɪ ŋ - ə n ( - - )	brɪŋən	bringen	453	German				bring	*brenganan
1651	b r ɪ ŋ	*brenganan	b r ɪ ŋ - - - ( - - )	brɪŋ	bring	453	English				bring	*brenganan
1652	b r ɛ ŋ ə	*brenganan	b r ɛ ŋ - ə - ( - - )	brɛŋə	brengen	453	Dutch				bring	*brenganan
1133	b r uː k a n a n	*brūkanan	( - - ) b r uː k a n ( a n )	bruːkanan	*brūkanan	311	Proto-Germanic		C C V c v c		brook	*brūkanan
1134	b r au x ə n	*brūkanan	( - - ) b r au x ə n ( - - )	brauxən	brauchen	311	German				brook	*brūkanan
1135	b r ʊ k	*brūkanan	( - - ) b r ʊ k - - ( - - )	brʊk	brook	311	English				brook	*brūkanan
1136	x ə b r œy k ə	*brūkanan	( x ə ) b r œy k ə - ( - - )	xəbrœykə	gebruiken	311	Dutch				brook	*brūkanan
31	b u kː a z	*bukkaz	b u kː ( a z )	bukkaz	*bukkaz	9	Proto-Germanic		C V C		buck	*bukkaz
32	b ɔ k	*bukkaz	b ɔ k ( - - )	bɔk	Bock	9	German				buck	*bukkaz
33	b ʌ k	*bukkaz	b ʌ k ( - - )	bʌk	buck	9	English				buck	*bukkaz
34	b ɔ k	*bukkaz	b ɔ k ( - - )	bɔk	bok	9	Dutch				buck	*bukkaz
1751	b r e s t a n a n	*brestanan	b - r e s t a n ( a n )	brestanan	*brestanan	480	Proto-Germanic		C - C V C c v c		burst	*brestanan
1752	b ɛ r s t ə n	*brestanan	b ɛ r - s t ə n ( - - )	bɛrstən	bersten	480	German				burst	*brestanan
1753	b ɜː s t	*brestanan	b ɜː - - s t - - ( - - )	bɜːst	burst	480	English				burst	*brestanan
1754	b ɑ r s t ə	*brestanan	b ɑ r - s t ə - ( - - )	bɑrstə	barsten	480	Dutch				burst	*brestanan
190	k a l b a z	*kalbaz	k a l b ( a z )	kalbaz	*kalbaz	54	Proto-Germanic		C V C C		calf	*kalbaz
191	k a l p	*kalbaz	k a l b ( - - )	kalp	Kalb	54	German				calf	*kalbaz
192	k ɑː f	*kalbaz	k ɑː - f ( - - )	kɑːf	calf	54	English				calf	*kalbaz
193	k ɑ l f	*kalbaz	k ɑ l f ( - - )	kɑlf	kalf	54	Dutch				calf	*kalbaz
990	k e w a n a n	*kewwanan	k e w a n ( a n )	kewwanan	*kewwanan	272	Proto-Germanic		C V c v v		chew	*kewwanan
991	k au ə n	*kewwanan	k au - ə n ( - - )	kauən	kauen	272	German				chew	*kewwanan
992	ʧ uː	*kewwanan	ʧ uː - - - ( - - )	ʧuː	chew	272	English				chew	*kewwanan
993	k ɑu ʋ ə	*kewwanan	k ɑu ʋ ə - ( - - )	kɑuʋə	kauwen	272	Dutch				chew	*kewwanan
554	k l e m b a n a n	*klembanan	k l e m b a n ( a n )	klembanan	*klembanan	152	Proto-Germanic		C C V C c v c		climb	*klembanan
555	k l ɪ m ə n	*klembanan	k l ɪ m - ə n ( - - )	klɪmən	klimmen	152	German				climb	*klembanan
556	k l aɪ m	*klembanan	k l aɪ m - - - ( - - )	klaɪm	climb	152	English				climb	*klembanan
557	k l ɪ m ə	*klembanan	k l ɪ m - ə - ( - - )	klɪmə	klimmen	152	Dutch				climb	*klembanan
1677	k a m b a z	*kambaz	k a m b ( a z )	kambaz	*kambaz	460	Proto-Germanic		C V C C		comb	*kambaz
1678	k a m	*kambaz	k a m - ( - - )	kam	Kamm	460	German				comb	*kambaz
1679	k əʊ m	*kambaz	k əʊ m - ( - - )	kəʊm	comb	460	English				comb	*kambaz
1680	k ɑ m	*kambaz	k ɑ m - ( - - )	kɑm	kam	460	Dutch				comb	*kambaz
5	k u r n a n	*kurnan	k u r n ( a n )	kurnan	*kurnan	533	Proto-Germanic		C V C C		corn	*kurnan
6	k ɔ r n	*kurnan	k ɔ r n ( - - )	kɔrn	Korn	533	German				corn	*kurnan
7	k ɔː n	*kurnan	k ɔː - n ( - - )	kɔːn	corn	533	English				corn	*kurnan
8	k oː r ə	*kurnan	k oː r - ( ə - )	koːrə	koren	533	Dutch				corn	*kurnan
1090	k oː w z	*kōwz	k oː ( w z )	koːwz	*kōwz	299	Proto-Germanic		C V		cow	*kōwz
1091	k uː	*kōwz	k uː ( - - )	kuː	Kuh	299	German				cow	*kōwz
1092	k aʊ	*kōwz	k aʊ ( - - )	kaʊ	cow	299	English				cow	*kōwz
1093	k uː	*kōwz	k uː ( - - )	kuː	koe	299	Dutch				cow	*kōwz
1505	k r a f t i z	*kraftiz	k r a f t ( i z )	kraftiz	*kraftiz	413	Proto-Germanic		C C V C C		craft	*kraftiz
1506	k r a f t	*kraftiz	k r a f t ( - - )	kraft	Kraft	413	German				craft	*kraftiz
1507	k r ɑː f t	*kraftiz	k r ɑː f t ( - - )	krɑːft	craft	413	English				craft	*kraftiz
1508	k r ɑ x t	*kraftiz	k r ɑ x t ( - - )	krɑxt	kracht	413	Dutch				craft	*kraftiz
878	k r u pː a z	*kruppaz	k r u pː ( a z )	kruppaz	*kruppaz	242	Proto-Germanic		C C V C		crop	*kruppaz
879	k r ɔ pf	*kruppaz	k r ɔ pf ( - - )	krɔp͡f	Kropf	242	German				crop	*kruppaz
880	k r ɔ p	*kruppaz	k r ɔ p ( - - )	krɔp	crop	242	English				crop	*kruppaz
881	k r ɔ p	*kruppaz	k r ɔ p ( - - )	krɔp	krop	242	Dutch				crop	*kruppaz
1244	kʷ i θ u z	*kwiθuz	kʷ i θ ( u z )	kwiθuz	*kwiθuz	342	Proto-Germanic		C V C		cud	*kwiθuz
1245	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	Kitt	342	German				cud	*kwiθuz
1246	k ʌ d	*kwiθuz	k ʌ d ( - - )	kʌd	cud	342	English				cud	*kwiθuz
1247	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	kit	342	Dutch				cud	*kwiθuz
1181	d a l a z	*dalaz	d a l ( a z )	dalaz	*dalaz	324	Proto-Germanic		C V C		dale	*dalaz
1182	t aː l	*dalaz	t aː l ( - - )	taːl	Tal	324	German				dale	*dalaz
1183	d eɪ l	*dalaz	d eɪ l ( - - )	deɪl	dale	324	English				dale	*dalaz
1184	d ɑ l	*dalaz	d ɑ l ( - - )	dɑl	dal	324	Dutch				dale	*dalaz
780	d a g a z	*dagaz	d a g ( a z )	dagaz	*dagaz	214	Proto-Germanic		C V C		day	*dagaz
781	t aː k	*dagaz	t aː k ( - - )	taːk	Tag	214	German				day	*dagaz
782	d eɪ	*dagaz	d eɪ - ( - - )	deɪ	day	214	English				day	*dagaz
783	d ɑ x	*dagaz	d ɑ x ( - - )	dɑx	dag	214	Dutch				day	*dagaz
1082	d ai l i z	*dailiz	d ai l ( i z )	dailiz	*dailiz	297	Proto-Germanic		C V C		deal	*dailiz
1083	t ai l	*dailiz	t ai l ( - - )	tail	Teil	297	German				deal	*dailiz
1084	d iː l	*dailiz	d iː l ( - - )	diːl	deal	297	English				deal	*dailiz
1085	d eː l	*dailiz	d eː l ( - - )	deːl	deel	297	Dutch				deal	*dailiz
577	d eː d i z	*dēdiz	d eː d ( i z )	deːdiz	*dēdiz	159	Proto-Germanic		C V C		deed	*dēdiz
578	t aː t	*dēdiz	t aː t ( - - )	taːt	Tat	159	German				deed	*dēdiz
579	d iː d	*dēdiz	d iː d ( - - )	diːd	deed	159	English				deed	*dēdiz
580	d aː t	*dēdiz	d aː t ( - - )	daːt	daad	159	Dutch				deed	*dēdiz
406	d eu z a n	*deuzan	d eu z ( a n )	deuzan	*deuzan	112	Proto-Germanic		C V C		deer	*deuzan
407	t iː r	*deuzan	t iː r ( - - )	tiːr	Tier	112	German				deer	*deuzan
408	d ɪə r	*deuzan	d ɪə r ( - - )	dɪər	deer	112	English				deer	*deuzan
409	d iː r	*deuzan	d iː r ( - - )	diːr	dier	112	Dutch				deer	*deuzan
1517	d a w oː	*dawwō	d - a w ( oː )	dawwoː	*dawwō	416	Proto-Germanic		C - V C		dew	*dawwō
1518	t au	*dawwō	t - au - ( - )	tau	Tau	416	German				dew	*dawwō
1519	d j uː	*dawwō	d j uː - ( - )	djuː	dew	416	English				dew	*dawwō
1520	d ɑu ʋ	*dawwō	d - ɑu ʋ ( - )	dɑuʋ	dauw	416	Dutch				dew	*dawwō
893	d e l j a z	*deljaz	d e l ( j a z )	deljaz	*deljaz	246	Proto-Germanic		C V C		dill	*deljaz
894	d/t ɪ l	*deljaz	d/t ɪ l ( - - - )	dɪl	Dill	246	German	BOR		Low German	dill	*deljaz
895	d ɪ l	*deljaz	d ɪ l ( - - - )	dɪl	dill	246	English				dill	*deljaz
896	d ɪ l ə	*deljaz	d ɪ l ( - ə - )	dɪlə	dille	246	Dutch				dill	*deljaz
1581	d oː n a n	*dōnan	d oː - n ( a n )	doːnan	*dōnan	434	Proto-Germanic		C V - C		do	*dōnan
1582	t uː n	*dōnan	t uː ə n ( - - )	tuːn	tun	434	German				do	*dōnan
1583	d uː	*dōnan	d uː - - ( - - )	duː	do	434	English				do	*dōnan
1584	d uː n	*dōnan	d uː - n ( - - )	duːn	doen	434	Dutch				do	*dōnan
101	d u r a n	*duran	d u r ( a n )	duran	*duran	29	Proto-Germanic		C V C		door	*duran
102	t oː r	*duran	t oː r ( - - )	toːr	Tor	29	German				door	*duran
103	d ɔː r	*duran	d ɔː r ( - - )	dɔːr	door	29	English				door	*duran
761	d ai g a z	*daigaz	d ai g ( a z )	daigaz	*daigaz	209	Proto-Germanic		C V C		dough	*daigaz
762	t ai k	*daigaz	t ai k ( - - )	taik	Teig	209	German				dough	*daigaz
763	d əʊ	*daigaz	d əʊ - ( - - )	dəʊ	dough	209	English				dough	*daigaz
764	d eː x	*daigaz	d eː x ( - - )	deːx	deeg	209	Dutch				dough	*daigaz
54	d uː b oː n	*dūbōn	d uː b oː ( n )	duːboːn	*dūbōn	16	Proto-Germanic		C V c v		dove	*dūbōn
55	t au b ə	*dūbōn	t au b ə ( - )	taubə	Taube	16	German				dove	*dūbōn
56	d ʌ v	*dūbōn	d ʌ v - ( - )	dʌv	dove	16	English				dove	*dūbōn
57	d oː v ə	*dūbōn	d oː v ə ( - )	doːvə	dove	16	Dutch				dove	*dūbōn
395	d r au m a z	*draumaz	d r au m ( a z )	draumaz	*draumaz	109	Proto-Germanic		C C V C		dream	*draumaz
396	t r au m	*draumaz	t r au m ( - - )	traum	Traum	109	German				dream	*draumaz
397	d r iː m	*draumaz	d r iː m ( - - )	driːm	dream	109	English				dream	*draumaz
398	d r oː m	*draumaz	d r oː m ( - - )	droːm	droom	109	Dutch				dream	*draumaz
