ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
114	h ɑ r t	*xertōn	h ɑ r t ( - - )	hɑrt	hart	32	Dutch			
115	f e x u	*fexu	f e ( x u )	fexu	*fexu	33	Proto-Germanic		C V	
116	v iː	*fexu	v iː ( - - )	viː	Vieh	33	German			
117	f iː	*fexu	f iː ( - - )	fiː	fee	33	English			
118	v eː	*fexu	v eː ( - - )	veː	vee	33	Dutch			
119	l iː m a n	*līman	l iː m ( a n )	liːman	*līman	34	Proto-Germanic		C V C	
120	l ai m	*līman	l ai m ( - - )	laim	Leim	34	German			
121	l aɪ m	*līman	l aɪ m ( - - )	laɪm	lime	34	English			
122	l ɛɪ m	*līman	l ɛɪ m ( - - )	lɛɪm	lijm	34	Dutch			
123	n eː θ l oː	*nēθlō	n eː θ - l ( oː )	neːθloː	*nēθlō	35	Proto-Germanic			
124	n aː d ə l	*nēθlō	n aː d ə l ( - )	naːdəl	Nadel	35	German			
125	n iː d ə l	*nēθlō	n iː d ə l ( - )	niːdḷ	needle	35	English			
126	n aː l t	*nēθlō	n aː - - l ( t )	naːlt	naald	35	Dutch			
127	m a r oː n	*marōn	( - - - - ) m a r ( oː n )	maroːn	*marōn	36	Proto-Germanic		C V C	
128	m aː r	*marōn	( - - - - ) m aː r ( - - )	maːr	Mahr	36	German			
129	n aɪ t m ɛə r	*marōn	( n aɪ - t ) m ɛə r ( - - )	naɪtmɛər	nightmare	36	English			
130	n ɑ x t m ɛ r iː	*marōn	( n ɑ x t ) m ɛ r ( iː - )	nɑxtmɛriː	nachtmerrie	36	Dutch			
131	g r a b a n a n	*grabanan	g r a b a n ( a n )	grabanan	*grabanan	37	Proto-Germanic		C C V c v c	
132	ɡ r aː b ə n	*grabanan	ɡ r aː b ə n ( - - )	ɡraːbən	graben	37	German			
133	ɡ r ɑː v	*grabanan	ɡ r ɑː v - - ( - - )	ɡrɑːv	grave	37	English			
134	x r aː v ə	*grabanan	x r aː v ə - ( - - )	xraːvə	graven	37	Dutch			
135	s a k oː	*sakō	s a k oː	sakoː	*sakō	38	Proto-Germanic			
136	z a x ə	*sakō	z a x ə	zaxə	Sache	38	German			
137	s ɑː k ɪ	*sakō	s eɪ k -	sɑːkɪ	sake	38	English			
138	z aː k	*sakō	z aː k -	zaːk	zaak	38	Dutch			
139	w i r a z	*wiraz	w i r ( a z )	wiraz	*wiraz	39	Proto-Germanic			
140	v eː r	*wiraz	v eː r ( - - )	veːr	Wehr	39	German			
141	ʋ eː r	*wiraz	ʋ eː r ( - - )	ʋeːr	weer	39	Dutch			
142	θ a r m a z	*θarmaz	θ a r m ( a z )	θarmaz	*θarmaz	40	Proto-Germanic			
143	d a r m	*θarmaz	d a r m ( - - )	darm	Darm	40	German			
144	d ɑ r m	*θarmaz	d ɑ r m ( - - )	dɑrm	darm	40	Dutch			
145	g r oː b oː	*grōbō	g r oː b ( oː )	groːboː	*grōbō	41	Proto-Germanic		C C V C	
146	ɡ r uː b ə	*grōbō	ɡ r uː b ( ə )	ɡruːbə	Grube	41	German			
147	x r uː v ə	*grōbō	x r uː v ( ə )	xruːvə	groeve	41	Dutch			
148	k n a b i l a z	*knabilaz	k n a b i l ( a z )	knabilaz	*knabilaz	42	Proto-Germanic		C C V c v c	
149	k n eː b ə l	*knabilaz	k n eː b ə l ( - - )	kneːbəl	Knebel	42	German			
150	k n eː v ə l	*knabilaz	k n eː v ə l ( - - )	kneːvəl	knevel	42	Dutch			
151	x oː d a z	*xattuz	x oː d ( a z )	xattuz	*xattuz	43	Proto-Germanic			
152	h uː t	*xattuz	h uː t ( - - )	huːt	Hut	43	German			
153	h ʊ d	*xattuz	h ʊ d ( - - )	hʊd	hood	43	English			
154	b r u nː oː n	*brunnōn	b r u nː ( oː n )	brunnoːn	*brunnōn	44	Proto-Germanic		C C V C	
155	b r ʊ n ə n	*brunnōn	b r ʊ n ( ə n )	brʊnən	Brunnen	44	German			
156	b r ɔ n	*brunnōn	b r ɔ n ( - - )	brɔn	bron	44	Dutch			
157	f e x t a n a n	*fextanan	f e x t a n ( a n )	fextanan	*fextanan	45	Proto-Germanic		C V C c v c	
158	f ɛ x t ə n	*fextanan	f ɛ x t ə n ( - - )	fɛxtən	fechten	45	German			
159	f aɪ t	*fextanan	f aɪ - t - - ( - - )	faɪt	fight	45	English			
160	v ɛ x t ə	*fextanan	v ɛ x t ə - ( - - )	vɛxtə	vechten	45	Dutch			
161	w a k j a n a n	*wakjanan	w a k j a n ( a n )	wakjanan	*wakjanan	46	Proto-Germanic			
162	v ɛ k ə n	*wakjanan	v ɛ k - ə n ( - - )	vɛkən	wecken	46	German			
163	ʋ ɛ k ə	*wakjanan	ʋ ɛ k - ə - ( - - )	ʋɛkə	wekken	46	Dutch			
164	r iː d a n a n	*rīdanan	r iː d a n ( a n )	riːdanan	*rīdanan	47	Proto-Germanic			
165	r ai t ə n	*rīdanan	r ai t ə n ( - - )	raitən	reiten	47	German			
166	r aɪ d	*rīdanan	r aɪ d - - ( - - )	raɪd	ride	47	English			
167	r ɛɪ d ə	*rīdanan	r ɛɪ d ə - ( - - )	rɛɪdə	rijden	47	Dutch			
168	x i t oː	*xitō	x i t j oː	xitoː	*xitō	48	Proto-Germanic			
169	h ɪ ts ə	*xitō	h ɪ ts - ə	hɪt͡sə	Hitze	48	German			
170	h ɪ t ə	*xitō	h ɪ t - ə	hɪtə	hitte	48	Dutch			
171	m oː s a n	*mōsan	m oː s ( a n )	moːsan	*mōsan	49	Proto-Germanic		C V C	
172	m uː s	*mōsan	m uː s ( - - )	muːs	Mus	49	German			
173	m uː s	*mōsan	m uː s ( - - )	muːs	moes	49	Dutch			
174	s e b u n	*sebun	s e b u n	sebun	*sebun	50	Proto-Germanic			
175	z iː b ə n	*sebun	z iː b ə n	ziːbən	sieben	50	German			
176	s ɛ v ə n	*sebun	s ɛ v ə n	sɛvṇ	seven	50	English			
177	z eː v ə	*sebun	z eː v ə -	zeːvə	zeven	50	Dutch			
178	s p e nː i l oː	*spennilō	s p e nː - i l ( oː )	spenniloː	*spennilō	51	Proto-Germanic			
179	ʃ p ɪ n d ə l	*spennilō	ʃ p ɪ n d ə l ( - )	ʃpɪndəl	Spindel	51	German			
180	s p ɪ n d ə l	*spennilō	s p ɪ n d ə l ( - )	spɪndḷ	spindle	51	English			
181	s p ɪ l	*spennilō	s p ɪ - - - l ( - )	spɪl	spil	51	Dutch			
182	x r a b n a z	*xrabnaz	x r a b - n ( a z )	xrabnaz	*xrabnaz	52	Proto-Germanic			
183	r aː b ə	*xrabnaz	- r aː b ə - ( - - )	raːbə	Rabe	52	German			
184	r æ v ə n	*xrabnaz	- r æ v ə n ( - - )	rævṇ	raven	52	English			
185	r aː f	*xrabnaz	- r aː f - - ( - - )	raːf	raaf	52	Dutch			
186	x ai l j a n a n	*xailjanan	x ai l j a n ( a n )	xailjanan	*xailjanan	53	Proto-Germanic			
187	h ai l ə n	*xailjanan	h ai l - ə n ( - - )	hailən	heilen	53	German			
188	h iː l	*xailjanan	h iː l - - - ( - - )	hiːl	heal	53	English			
189	h eː l ə	*xailjanan	h eː l - ə - ( - - )	heːlə	helen	53	Dutch			
190	k a l b a z	*kalbaz	k a l b ( a z )	kalbaz	*kalbaz	54	Proto-Germanic		C V C C	
191	k a l p	*kalbaz	k a l b ( - - )	kalp	Kalb	54	German			
192	k ɑː f	*kalbaz	k ɑː - f ( - - )	kɑːf	calf	54	English			
193	k ɑ l f	*kalbaz	k ɑ l f ( - - )	kɑlf	kalf	54	Dutch			
194	w i d u w oː n	*widuwōn	w i d u w oː ( n )	widuwoːn	*widuwōn	55	Proto-Germanic			
195	v ɪ t v ə	*widuwōn	v ɪ t - v ə ( - )	vɪtvə	Witwe	55	German			
196	ʋ ɪ d əʊ	*widuwōn	ʋ ɪ d əʊ - - ( - )	ʋɪdəʊ	widow	55	English			
197	ʋ eː d yː ʋ ə	*widuwōn	ʋ eː d yː ʋ ə ( - )	ʋeːdyːʋə	weduwe	55	Dutch			
198	g a n g a z	*gangaz	g a n g ( a z )	gangaz	*gangaz	56	Proto-Germanic		C V C C	
199	ɡ a ŋ	*gangaz	ɡ a ŋ - ( - - )	ɡaŋ	Gang	56	German			
200	ɡ æ ŋ	*gangaz	ɡ æ ŋ - ( - - )	ɡæŋ	gang	56	English			
201	x ɑ ŋ	*gangaz	x ɑ ŋ - ( - - )	xɑŋ	gang	56	Dutch			
202	f a r a n a n	*faranan	f a r a n ( a n )	faranan	*faranan	57	Proto-Germanic		C V c v c	
203	f aː r ə n	*faranan	f aː r ə n ( - - )	faːrən	fahren	57	German			
204	f ɛə r	*faranan	f ɛə r - - ( - - )	fɛər	fare	57	English			
205	v aː r ə	*faranan	v aː r ə - ( - - )	vaːrə	varen	57	Dutch			
206	s w e r d a n	*swerdan	s w e r d ( a n )	swerdan	*swerdan	58	Proto-Germanic			
207	ʃ v eː r t	*swerdan	ʃ v eː r t ( - - )	ʃveːrt	Schwert	58	German			
208	s ɔː d	*swerdan	s - ɔː - d ( - - )	sɔːd	sword	58	English			
209	z ʋ aː r t	*swerdan	z ʋ aː r t ( - - )	zʋaːrt	zwaard	58	Dutch			
210	l i b r oː	*librō	l i b - r ( oː )	libroː	*librō	59	Proto-Germanic		C V C - C	
211	l eː b ə r	*librō	l eː b ə r ( - )	leːbər	Leber	59	German			
212	l ɪ v ə r	*librō	l ɪ v ə r ( - )	lɪvər	liver	59	English			
213	l eː v ə r	*librō	l eː v ə r ( - )	leːvər	lever	59	Dutch			
214	w e l j oː n	*weljōn	w e l j oː ( n )	weljoːn	*weljōn	60	Proto-Germanic			
215	v ɪ l ə	*weljōn	v ɪ l - ə ( - )	vɪlə	Wille	60	German			
216	ʋ ɪ l	*weljōn	ʋ ɪ l - - ( - )	ʋɪl	will	60	English			
217	ʋ ɪ l	*weljōn	ʋ ɪ l - - ( - )	ʋɪl	wil	60	Dutch			
218	b e r g a n	*bergan	b e r g ( a n )	bergan	*bergan	61	Proto-Germanic		C V C C	
219	b ɛ r k	*bergan	b ɛ r k ( - - )	bɛrk	Berg	61	German			
220	b æ r əʊ	*bergan	b æ r əʊ ( - - )	bærəʊ	barrow	61	English			
221	b ɛ r x	*bergan	b ɛ r x ( - - )	bɛrx	berg	61	Dutch			
222	b oː g u z	*bōguz	b oː g ( u z )	boːguz	*bōguz	62	Proto-Germanic		C V C	
223	b uː k	*bōguz	b uː k ( - - )	buːk	Bug	62	German			
224	b aʊ	*bōguz	b aʊ - ( - - )	baʊ	bough	62	English			
225	θ r e j e z	*θrejez	θ r e j ( e z )	θrejez	*θrejez	63	Proto-Germanic			
226	d r ai	*θrejez	d r ai - ( - - )	drai	drei	63	German			
227	θ r iː	*θrejez	θ r iː - ( - - )	θriː	three	63	English			
228	d r iː	*θrejez	d r iː - ( - - )	driː	drie	63	Dutch			
229	s iː d oː n	*sīdōn	s iː d oː ( n )	siːdoːn	*sīdōn	64	Proto-Germanic			
230	z ai t ə	*sīdōn	z ai t ə ( - )	zaitə	Seite	64	German			
231	s aɪ d	*sīdōn	s aɪ d - ( - )	saɪd	side	64	English			
232	w u r d a n	*wurdan	w u r d ( a n )	wurdan	*wurdan	65	Proto-Germanic			
233	v ɔ r t	*wurdan	v ɔ r t ( - - )	vɔrt	Wort	65	German			
234	ʋ ɜː d	*wurdan	ʋ ɜː - d ( - - )	ʋɜːd	word	65	English			
235	ʋ oː r t	*wurdan	ʋ oː r t ( - - )	ʋoːrt	woord	65	Dutch			
236	m eː l a n	*mēlan	m eː l ( a n )	meːlan	*mēlan	66	Proto-Germanic		C V C	
237	m aː l	*mēlan	m aː l ( - - )	maːl	Mal	66	German			
238	m iː l	*mēlan	m iː l ( - - )	miːl	meal	66	English			
239	m aː l	*mēlan	m aː l ( - - )	maːl	maal	66	Dutch			
240	g r iː p a n a n	*grīpanan	g r iː p a n ( a n )	griːpanan	*grīpanan	67	Proto-Germanic		C C V c v c	
241	ɡ r ai f ə n	*grīpanan	ɡ r ai f ə n ( - - )	ɡraifən	greifen	67	German			
242	ɡ r aɪ p	*grīpanan	ɡ r aɪ p - - ( - - )	ɡraɪp	gripe	67	English			
243	x r ɛɪ p ə	*grīpanan	x r ɛɪ p ə - ( - - )	xrɛɪpə	grijpen	67	Dutch			
244	xʷ e r b i l a z	*xwerbilaz	xʷ e r b i l ( a z )	xwerbilaz	*xwerbilaz	68	Proto-Germanic			
245	v ɪ r b ə l	*xwerbilaz	v ɪ r b ə l ( - - )	vɪrbəl	Wirbel	68	German			
246	ʋ ɛ r v ə l	*xwerbilaz	ʋ ɛ r v ə l ( - - )	ʋɛrvəl	wervel	68	Dutch			
247	f a lː a n a n	*fallanan	f a lː a n ( a n )	fallanan	*fallanan	69	Proto-Germanic		C V c v c	
248	f a l ə n	*fallanan	f a l ə n ( - - )	falən	fallen	69	German			
249	f ɔː l	*fallanan	f ɔː l - - ( - - )	fɔːl	fall	69	English			
250	v ɑ l ə	*fallanan	v ɑ l ə - ( - - )	vɑlə	vallen	69	Dutch			
251	x au b u d a n	*xaubudan	x au b ( u ) d ( a n )	xaubudan	*xaubudan	70	Proto-Germanic			
252	h au p t	*xaubudan	h au p ( - ) t ( - - )	haupt	Haupt	70	German			
253	h ɛ d	*xaubudan	h ɛ - ( - ) d ( - - )	hɛd	head	70	English			
254	h oː f t	*xaubudan	h oː f ( - ) t ( - - )	hoːft	hoofd	70	Dutch			
255	l ai θ a z	*laiθaz	l ai θ ( a z )	laiθaz	*laiθaz	71	Proto-Germanic		C V C	
256	l ai t	*laiθaz	l ai d ( - - )	lait	Leid	71	German			
257	l əʊ θ	*laiθaz	l əʊ θ ( - - )	ləʊθ	loath	71	English			
258	l eː t	*laiθaz	l eː t ( - - )	leːt	leed	71	Dutch			
259	b a z j a n	*bazjan	b a z j ( a n )	bazjan	*bazjan	72	Proto-Germanic		C V C C	
260	b eː r ə	*bazjan	b eː r - ( ə - )	beːrə	Beere	72	German			
261	b ɛ r ɪ	*bazjan	b ɛ r - ( ɪ - )	bɛrɪ	berry	72	English			
262	b ɛ s	*bazjan	b ɛ s - ( - - )	bɛs	bes	72	Dutch			
263	l au b j a n a n	*laubjanan	( - - ) l au b j a n ( a n )	laubjanan	*laubjanan	73	Proto-Germanic		C V c c v c	
264	ɡ l au b ə n	*laubjanan	( ɡ - ) l au b - ə n ( - - )	ɡlaubən	glauben	73	German			
265	b ɪ l iː v	*laubjanan	( b ɪ ) l iː v - - - ( - - )	bɪliːv	believe	73	English			
266	x ə l oː v ə	*laubjanan	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch			
267	l eu θ a n	*leuθan	l eu θ ( a n )	leuθan	*leuθan	74	Proto-Germanic		C V C	
268	l iː t	*leuθan	l iː d ( - - )	liːt	Lied	74	German			
269	l iː t	*leuθan	l iː t ( - - )	liːt	lied	74	Dutch			
270	s t eu r a n	*steuran	s t eu - r ( a n )	steuran	*steuran	75	Proto-Germanic			
271	ʃ t ɔy ə r	*steuran	ʃ t ɔy ə r ( - - )	ʃtɔyər	Steuer	75	German			
273	s t yː r	*steuran	s t yː - r ( - - )	styːr	stuur	75	Dutch			
274	w e n t r u z	*wentruz	w e n t - r ( u z )	wentruz	*wentruz	76	Proto-Germanic			
275	v ɪ n t ə r	*wentruz	v ɪ n t ə r ( - - )	vɪntər	Winter	76	German			
276	ʋ ɪ n t ə r	*wentruz	ʋ ɪ n t ə r ( - - )	ʋɪntər	winter	76	English			
277	ʋ ɪ n t ə r	*wentruz	ʋ ɪ n t ə r ( - - )	ʋɪntər	winter	76	Dutch			
278	s k a l k a z	*skalkaz	s k a l k ( a z )	skalkaz	*skalkaz	77	Proto-Germanic			
279	ʃ a l k	*skalkaz	ʃ - a l k ( - - )	ʃalk	Schalk	77	German			
280	s x ɑ l k	*skalkaz	s x ɑ l k ( - - )	sxɑlk	schalk	77	Dutch			
281	m a l a n a n	*malanan	m a l a n ( a n )	malanan	*malanan	78	Proto-Germanic		C V c v c	
282	m aː l ə n	*malanan	m aː l ə n ( - - )	maːlən	mahlen	78	German			
283	m aː l ə	*malanan	m aː l ə - ( - - )	maːlə	malen	78	Dutch			
284	r ai s oː	*raisō	r ai s oː	raisoː	*raisō	79	Proto-Germanic			
285	r ai z ə	*raisō	r ai z ə	raizə	Reise	79	German			
286	r ɛɪ s	*raisō	r ɛɪ s -	rɛɪs	reis	79	Dutch			
287	r au s a n	*rausan	r au s ( a n )	rausan	*rausan	80	Proto-Germanic			
288	r oː r	*rausan	r oː r ( - - )	roːr	Rohr	80	German			
289	r uː r	*rausan	r uː r ( - - )	ruːr	roer	80	Dutch			
290	x a n x i s t a z	*xanxistaz	x a n x ( i ) s t ( a z )	xanxistaz	*xanxistaz	81	Proto-Germanic			
291	h ɛ ŋ s t	*xanxistaz	h ɛ ŋ - ( - ) s t ( - - )	hɛŋst	Hengst	81	German			
