# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
7478	Maru	I	843	ŋɔ³¹	ŋ ɔ ³¹	i n t	ŋ ɔ ³¹	57
9159	Bola	I	843	ŋa⁵⁵	ŋ a ⁵⁵	i n t	ŋ a ⁵⁵	57
10805	Lashi	I	843	ŋo³¹	ŋ o ³¹	i n t	ŋ o ³¹	57
11817	Old_Burmese	I	843	ṅa	ŋ a ²²	i n t	ŋ a ²²	57
#
727	Rangoon	January	724	tɑ̃²²khu⁵⁵	t ɑ̃ ∼ ²² + kʰ u ⁵⁵	i n c t + i n t	t ɑ̃ ∼ ²² + kʰ u ⁵⁵	72 74
2490	Achang_Longchuan	January	724	tă³¹pau⁵¹l̥ɔ³⁵	t ă ³¹ + p au ⁵¹ + l̥ ɔ ³⁵	i n t + i n t + i n t	t ă ³¹ + p au ⁵¹ + l̥ ɔ - ³⁵	11284 67 68
4061	Xiandao	January	724	lɤn³¹ta³¹	l ɤ n ³¹ + t a ³¹	i n c t + i n t	l ɤ n ³¹ + t a ³¹	68 11284
5656	Atsi	January	724	lŏ̱⁵⁵mo⁵⁵lă²¹khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + l ă ²¹ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t	ˀl ŏ ⁵⁵ + m o ⁵⁵ + l ă - ²¹ + kʰ j a p ⁵⁵	69 4195 68 11585
7365	Maru	January	724	lɔ̱⁵⁵tă³¹khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	i n t + i n t + i m n c t	ˀl ɔ - ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	68 11284 11585
9037	Bola	January	724	tʃin³⁵jɛ³¹	tʃ i n ³⁵ + /ʔ j ɛ ³¹	i n c t + i m n t	tʃ i n ³⁵ + /ʔ j ɛ ³¹	72 73
10692	Lashi	January	724	lə̆⁵⁵mo⁵⁵ta³¹khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	i n t + i n t + i n t + i m n c t	l ə̆ - ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	68 4195 11284 11585
#
743	Rangoon	Monday	740	tɑ⁵³nĩ⁵⁵lɑ²²	t ɑ ⁵³ + n ĩ ∼ ⁵⁵ + l ɑ ²²	i n t + i n c t + i n t	t ɑ - ⁵³ + n ĩ ∼ ⁵⁵ + l ɑ ²²	89 94 68
5672	Atsi	Monday	740	jĭ⁵⁵pan²¹thaŋ⁵¹lă²¹ŋji⁵⁵	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i ⁵⁵	87 88 89 68 4260
9053	Bola	Monday	740	lə̆³¹pan⁵¹ta³¹	l ə̆ ³¹ + p a n ⁵¹ + t a ³¹	i n t + i n c t + i n t	l ə̆ ³¹ + p a n ⁵¹ + t a ³¹	68 89 92
10707	Lashi	Monday	740	lə̆⁵⁵pan³¹ta³¹ŋjei⁵⁵	l ə̆ ⁵⁵ + p a n ³¹ + t a ³¹ + ŋ j ei ⁵⁵	i n t + i n c t + i n t + i m n t	l ə̆ ⁵⁵ + p a n ³¹ + t a ³¹ + ŋ j ei ⁵⁵	68 89 93 4260
#
749	Rangoon	New Year's Day	746	n̥iʔ⁴tθiʔ⁴	n̥ i ʔ ⁴ + tθ i ʔ ⁴	i n c t + i n c t	n̥ i ʔ ⁴ + tθ i ʔ ⁴	105 106
5678	Atsi	New Year's Day	746	tsan⁵¹sik⁵⁵	ts a n ⁵¹ + s i k ⁵⁵	i n c t + i n c t	ts a n ⁵¹ + s i k ⁵⁵	103 17711
7380	Maru	New Year's Day	746	tsəŋ³¹sa̱k⁵⁵	ts ə ŋ ³¹ + ˀs a k ⁵⁵	i n c t + i n c t	ts ə ŋ ³¹ + ˀs a k ⁵⁵	103 17711
9059	Bola	New Year's Day	746	tɛ̃⁵⁵sak⁵⁵	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	i n c t + i n c t	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	103 17711
10711	Lashi	New Year's Day	746	tsan³¹sə̱k⁵⁵	ts a n ³¹ + ˀs ə k ⁵⁵	i n c t + i n c t	ts a n ³¹ + ˀs ə k ⁵⁵	103 17711
#
1811	Rangoon	New Year's Day (in Burmese system, around April)	1794	tθĩ⁵⁵tɕɑ̃²²	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	i n c t + i n c t	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	114 115
#
164	Rangoon	Tibetan	164	ti⁵³bɛʔ⁴lu²²mjo⁵⁵	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i n c t + i n t + i m n t	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	122 123 2402 124
5098	Atsi	Tibetan	164	muŋ²¹phaŋ⁵⁵	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	i n c t + i n c t	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	117 118
6870	Maru	Tibetan	164	tsaŋ³⁵tshuʔ ³¹	ts a ŋ ³⁵ + tsh u ʔ ³¹	i n c t + i n c t	ts a ŋ ³⁵ + tsh u ʔ ³¹	117 121
8504	Bola	Tibetan	164	tsaŋ ³⁵	ts a ŋ ³⁵	i n c t	ts a ŋ ³⁵	117
10228	Lashi	Tibetan	164	lə̆³¹sɿ³³	l ə̆ ³¹ + s ɿ ³³	i n t + i n t	l ə̆ ³¹ + s ɿ ³³	2402 120
#
744	Rangoon	Tuesday	741	ĩ²²gɑ²²	/ʔ ĩ ∼ ²² + g ɑ ²²	i n c t + i n t	/ʔ ĩ ∼ ²² + g ɑ ²²	135 136
5673	Atsi	Tuesday	741	jĭ⁵¹pan²¹thaŋ⁵¹i⁵⁵ŋji⁵⁵	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	129 130 131 132 133
9054	Bola	Tuesday	741	lə̆³¹pan⁵¹i̱³⁵	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ i ³⁵	i n t + i n c t + i n t	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ - i ³⁵	134 130 129
#
1098	Rangoon	accomplish / succeed	1094	pji⁵⁵mjɑuʔ⁴	p j i ⁵⁵ + m j ɑ u ʔ ⁴	i m n t + i m n N c t	p j i ⁵⁵ + m j ɑ u ʔ ⁴	141 142
6033	Atsi	accomplish / succeed	1094	pa̱n⁵⁵	ˀp a n ⁵⁵	i n c t	ˀp a n ⁵⁵	140
7706	Maru	accomplish / succeed	1094	pəŋ³¹	p ə ŋ ³¹	i n c t	p ə ŋ ³¹	140
9408	Bola	accomplish / succeed	1094	pɛ̃⁵⁵	p ɛ̃ ∼ ⁵⁵	i n c t	p ɛ̃ ∼ ⁵⁵	140
#
1304	Rangoon	accumulate	1295	su⁵³	s u ⁵³	i n t	s u ⁵³	148
3029	Achang_Longchuan	accumulate	1295	xʐɔm³⁵	x ʐ ɔ m ³⁵	i m n c t	x ʐ ɔ m ³⁵	146
6238	Atsi	accumulate	1295	tsi̱ŋ²¹	ˀts i ŋ ²¹	i n c t	ˀts i ŋ ²¹	2256
11189	Lashi	accumulate	1295	tsə̱ːŋ⁵⁵	ˀts əː ŋ ⁵⁵	i n c t	ˀts əː ŋ ⁵⁵	2256
#
1608	Rangoon	accustomed to, be / habit of, haveve	1593	ɑ⁵³tɕĩ⁵³	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	i n t + i n c t	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	153 154
3317	Achang_Longchuan	accustomed to, be / habit of, haveve	1593	ȵ̥am³¹	ȵ̥ a m ³¹	i n c t	ȵ̥ a m ³¹	151
6543	Atsi	accustomed to, be / habit of, haveve	1593	man⁵⁵	m a n ⁵⁵	i n c t	m a n ⁵⁵	152
8177	Maru	accustomed to, be / habit of, haveve	1593	məŋ⁵⁵	m ə ŋ ⁵⁵	i n c t	m ə ŋ ⁵⁵	152
9904	Bola	accustomed to, be / habit of, haveve	1593	mɛ̃³⁵	m ɛ̃ ∼ ³⁵	i n c t	m ɛ̃ ∼ ³⁵	152
11458	Lashi	accustomed to, be / habit of, haveve	1593	maːn⁵⁵	m aː n ⁵⁵	i n c t	m aː n ⁵⁵	152
#
1562	Rangoon	ache (head)	1549	kɑiʔ⁴	k ɑi ʔ ⁴	i n c t	k ɑi ʔ ⁴	161
3274	Achang_Longchuan	ache (head)	1549	xə³¹	x ə ³¹	i n t	x ə ³¹	159
4744	Xiandao	ache (head)	1549	khɤ³¹	kh ɤ ³¹	i n t	kh ɤ ³¹	159
6497	Atsi	ache (head)	1549	no⁵¹	n o ⁵¹	i n t	n o ⁵¹	8607
8133	Maru	ache (head)	1549	nɔ³¹	n ɔ ³¹	i n t	n ɔ ³¹	8607
9859	Bola	ache (head)	1549	na⁵⁵	n a ⁵⁵	i n t	n a ⁵⁵	8607
11419	Lashi	ache (head)	1549	nɔː³¹	n ɔː ³¹	i n t	n ɔː ³¹	8607
#
1620	Rangoon	admire and envy	1605	ɑ⁵⁵tɕɑ⁵³	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	i n t + i n t	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	171 172
6555	Atsi	admire and envy	1605	mĕ²¹sa²¹	m ĕ ²¹ + s a ²¹	i n t + i n t	m ĕ ²¹ + s a ²¹	167 168
9916	Bola	admire and envy	1605	sə̆³¹kɔ̱t⁵⁵nau⁵⁵	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	i n t + i n c t + i n t	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	168 169 170
#
1101	Rangoon	admit	1097	wũ²²khɑ̃²²	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	i m n c t + i n c t	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	179 180
6036	Atsi	admit	1097	jin⁵⁵	/ʔ j i n ⁵⁵	i m n c t	/ʔ j i n ⁵⁵	175
7709	Maru	admit	1097	mə̆³¹xa³¹	m ə̆ ³¹ + x a ³¹	i n t + i n t	m ə̆ ³¹ + x a ³¹	177 178
9411	Bola	admit	1097	ŋɔt⁵⁵	ŋ ɔ t ⁵⁵	i n c t	ŋ ɔ t ⁵⁵	176
#
166	Rangoon	adult	166	lu²²tɕi⁵⁵	l u ²² + tɕ i ⁵⁵	i n t + i n t	l u ²² + tɕ - i ⁵⁵	187 183
1985	Achang_Longchuan	adult	166	tʂo⁵⁵kʐə³¹	tʂ o ⁵⁵ + k ʐ ə ³¹	i n t + i m n t	tʂ o ⁵⁵ + k ʐ ə ³¹	9222 183
3638	Xiandao	adult	166	tʂu⁵⁵kɯ³¹	tʂ u ⁵⁵ + k ɯ ³¹	i n t + i n t	tʂ u ⁵⁵ + k - ɯ ³¹	9222 183
5100	Atsi	adult	166	ko̱²¹paŋ²¹	ˀk o ²¹ + p a ŋ ²¹	i n t + i n c t	ˀk - o ²¹ + p a ŋ ²¹	183 184
6872	Maru	adult	166	ɣə³⁵mɔʔ⁵⁵	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	i n t + i n c t	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	186 185
8506	Bola	adult	166	kɔ̱⁵⁵maʔ⁵⁵	ˀk ɔ ⁵⁵ + m a ʔ ⁵⁵	i n t + i n c t	ˀk - ɔ ⁵⁵ + m a ʔ ⁵⁵	183 185
10230	Lashi	adult	166	kji³³paŋ⁵⁵	k j i ³³ + p a ŋ ⁵⁵	i m n t + i n c t	k j i ³³ + p a ŋ ⁵⁵	183 184
#
657	Rangoon	advantage / benefit	655	kɑ̃u⁵⁵tɕo⁵⁵	k ɑ̃ u ∼ ⁵⁵ + tɕ o ⁵⁵	i n N c t + i n t	k ɑ̃ u ∼ ⁵⁵ + tɕ o ⁵⁵	201 202
2429	Achang_Longchuan	advantage / benefit	655	tɕi⁵⁵ʐua⁵⁵	tɕ i ⁵⁵ + ʐ ua ⁵⁵	i n t + i n t	tɕ - i ⁵⁵ + ʐ ua ⁵⁵	197 198
4005	Xiandao	advantage / benefit	655	a³¹cɔ⁵⁵	/ʔ a ³¹ + c ɔ ⁵⁵	i n t + i n t	/ʔ a ³¹ + c - ɔ ⁵⁵	203 197
5586	Atsi	advantage / benefit	655	kĕ⁵¹vaŋ²¹	k ĕ ⁵¹ + v a ŋ ²¹	i n t + i n c t	k - ĕ ⁵¹ + v a ŋ ²¹	197 199
8970	Bola	advantage / benefit	655	kai⁵⁵ɣɔ̃³¹	k ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	i n t + i n c t	k - ai ⁵⁵ + ɣ ɔ̃ ∼ ³¹	197 199
10638	Lashi	advantage / benefit	655	kjei³¹tʃaŋ³³	k j ei ³¹ + tʃ a ŋ ³³	i m n t + i n c t	k j ei ³¹ + tʃ a ŋ ³³	197 200
#
1027	Rangoon	affectionate / intimate	1023	khĩ²²	kʰ ĩ ∼ ²²	i n c t	kʰ ĩ ∼ ²²	212
5961	Atsi	affectionate / intimate	1023	a⁵⁵lu̱m²¹	/ʔ a ⁵⁵ + ˀl u m ²¹	i n t + i n c t	/ʔ a ⁵⁵ + ˀl u m ²¹	210 211
#
1269	Rangoon	afraid, be	1262	tɕɑuʔ⁴	tɕ ɑ u ʔ ⁴	i n N c t	tɕ - ɑ u ʔ ⁴	215
3004	Achang_Longchuan	afraid, be	1262	ʐoʔ⁵⁵	ʐ o ʔ ⁵⁵	i n c t	ʐ o ʔ ⁵⁵	214
4511	Xiandao	afraid, be	1262	ju⁵⁵	/ʔ j u ⁵⁵	i m n t	/ʔ j u ⁵⁵	216
6203	Atsi	afraid, be	1262	kjuʔ²¹	k j u ʔ ²¹	i m n c t	k j u - ʔ ²¹	215
7860	Maru	afraid, be	1262	kjauk³¹	k j au k ³¹	i m n c t	k j au - k ³¹	215
9569	Bola	afraid, be	1262	kjauʔ³¹	k j au ʔ ³¹	i m n c t	k j au - ʔ ³¹	215
11165	Lashi	afraid, be	1262	kjuːk³¹	k j uː k ³¹	i m n c t	k j uː - k ³¹	215
12053	Old_Burmese	afraid, be	1262	kro₂k	k r ʊ k ⁴	i m n c t	k r ʊ - k ⁴	215
#
644	Rangoon	age	642	ɑ⁵³tθɛʔ⁴	/ʔ ɑ ⁵³ + tθ ɛ ʔ ⁴	i n t + i n c t	/ʔ ɑ ⁵³ + tθ ɛ ʔ ⁴	5331 228
2420	Achang_Longchuan	age	642	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s a k ⁵⁵	5331 224
3999	Xiandao	age	642	a³¹sak⁵⁵	/ʔ a ³¹ + s a k ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s a k ⁵⁵	5331 224
5572	Atsi	age	642	tsan⁵¹vut²¹	ts a n ⁵¹ + v u t ²¹	i n c t + i n c t	ts a n ⁵¹ + v - u t ²¹	103 226
7291	Maru	age	642	tsəŋ³¹vɛʔ⁵⁵	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	i n c t + i n c t	ts ə ŋ ³¹ + v ɛ ʔ ⁵⁵	103 227
8956	Bola	age	642	a³¹sak³¹	/ʔ a ³¹ + s a k ³¹	i n t + i n c t	/ʔ a ³¹ + s a k ³¹	5331 224
10626	Lashi	age	642	tsan³¹wɔt³¹	ts a n ³¹ + /ʔ w ɔ t ³¹	i n c t + i m n c t	ts a n ³¹ + /ʔ w ɔ t ³¹	103 226
#
1380	Rangoon	agree / consent	1369	tɕhĩ²²	tɕʰ ĩ ∼ ²²	i n c t	tɕʰ ĩ ∼ ²²	239
3096	Achang_Longchuan	agree / consent	1369	ka³⁵	k a ³⁵	i n t	k a ³⁵	238
4581	Xiandao	agree / consent	1369	tsui³⁵	ts ui ³⁵	i n t	ts ui ³⁵	241
6313	Atsi	agree / consent	1369	ka̱m⁵⁵	ˀk a m ⁵⁵	i n c t	ˀk a m ⁵⁵	239
7954	Maru	agree / consent	1369	nuk³¹	n u k ³¹	i n c t	n u k ³¹	240
9675	Bola	agree / consent	1369	ka̱m³⁵	ˀk a m ³⁵	i n c t	ˀk a m ³⁵	239
11253	Lashi	agree / consent	1369	ka̱ːm³³	ˀk aː m ³³	i n c t	ˀk aː m ³³	239
#
1666	Rangoon	agree on / arrange	1651	tɕhẽ⁵⁵	tɕʰ ẽ ∼ ⁵⁵	i n c t	tɕʰ ẽ ∼ ⁵⁵	10857
3370	Achang_Longchuan	agree on / arrange	1651	tʂu⁵⁵	tʂ u ⁵⁵	i n t	tʂ u ⁵⁵	246
6601	Atsi	agree on / arrange	1651	niŋ²¹tat²¹	n i ŋ ²¹ + t a t ²¹	i n c t + i n c t	n i ŋ ²¹ + t a t ²¹	247 248
8232	Maru	agree on / arrange	1651	la̱uŋ³¹	ˀl au ŋ ³¹	i n c t	ˀl au ŋ ³¹	250
9960	Bola	agree on / arrange	1651	taŋ³¹	t a ŋ ³¹	i n c t	t a ŋ ³¹	10857
#
20	Rangoon	air; breath	20	ɑ⁵³ŋwe⁵³	/ʔ ɑ ⁵³ + ŋ w e ⁵³	i n t + i m n t	/ʔ ɑ ⁵³ + ŋ w e ⁵³	254 255
1851	Achang_Longchuan	air; breath	20	sui⁵⁵	s ui ⁵⁵	i n t	s ui - ⁵⁵	253
3516	Xiandao	air; breath	20	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	s ɔ ʔ ⁵⁵	253
4957	Atsi	air; breath	20	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t	s o ʔ ⁵⁵	253
6745	Maru	air; breath	20	soʔ⁵⁵	s o ʔ ⁵⁵	i n c t	s o ʔ ⁵⁵	253
8371	Bola	air; breath	20	saʔ⁵⁵	s a ʔ ⁵⁵	i n c t	s a ʔ ⁵⁵	253
10110	Lashi	air; breath	20	sɔʔ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	s ɔ ʔ ⁵⁵	253
12009	Old_Burmese	air; breath	20	rhu	r̥ u ²²	i n t	r̥ u - ²²	253
#
425	Rangoon	alcoholic beverage	423	ɑ⁵³jɛʔ⁴	/ʔ ɑ ⁵³ + /ʔ j ɛ ʔ ⁴	i n t + i m n c t	/ʔ - ɑ - ⁵³ + /ʔ j ɛ ʔ ⁴	264 266
2217	Achang_Longchuan	alcoholic beverage	423	tsi⁵⁵	ts i ⁵⁵	i n t	ts i ⁵⁵	15499
3857	Xiandao	alcoholic beverage	423	tsai⁵⁵	ts ai ⁵⁵	i n t	ts ai ⁵⁵	15499
5357	Atsi	alcoholic beverage	423	i⁵¹	/ʔ i ⁵¹	i n t	/ʔ - i - ⁵¹	264
7105	Maru	alcoholic beverage	423	i̱k³¹	ˀ/ʔ i k ³¹	i n c t	ˀ/ʔ - i k ³¹	264
8748	Bola	alcoholic beverage	423	i̱⁵⁵phai³⁵	ˀ/ʔ i ⁵⁵ + ph ai ³⁵	i n t + i n t	ˀ/ʔ - i - ⁵⁵ + ph ai ³⁵	264 265
10451	Lashi	alcoholic beverage	423	je̱i³³phei⁵⁵	ˀ/ʔ j ei ³³ + ph ei ⁵⁵	i m n t + i n t	ˀ/ʔ j ei - ³³ + ph ei ⁵⁵	264 265
#
1299	Rangoon	alive, become / active	1290	ɕĩ²²	ɕ ĩ ∼ ²²	i n c t	ɕ ĩ ∼ ²²	276
3025	Achang_Longchuan	alive, become / active	1290	tut⁵⁵	t u t ⁵⁵	i n c t	t u t ⁵⁵	274
4527	Xiandao	alive, become / active	1290	cɛ⁵⁵	c ɛ ⁵⁵	i n t	c - ɛ ⁵⁵	275
6233	Atsi	alive, become / active	1290	tui⁵¹	t u i ⁵¹	i m n t	t u i ⁵¹	275
7886	Maru	alive, become / active	1290	tɔi³¹	t ɔi ³¹	i n t	t - ɔi ³¹	275
9599	Bola	alive, become / active	1290	tui⁵⁵	t ui ⁵⁵	i n t	t - ui ⁵⁵	275
11186	Lashi	alive, become / active	1290	təː³¹	t əː ³¹	i n t	t - əː ³¹	275
#
61	Rangoon	alkali / soda	61	sho²²dɑ²²	sʰ o ²² + d ɑ ²²	i n t + i n t	sʰ o ²² + d ɑ ²²	282 283
#
880	Rangoon	all / everything	877	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	i n c t + i n t + i m n t	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	294 295 296
2636	Achang_Longchuan	all / everything	877	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	i m n t + i m n t	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	285 286
4198	Xiandao	all / everything	877	chot⁵⁵	ch o t ⁵⁵	i n c t	ch o t ⁵⁵	297
5810	Atsi	all / everything	877	lu̱ŋ⁵⁵la̱ŋ⁵⁵	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	i n c t + i n c t	ˀl u ŋ ⁵⁵ + ˀl a ŋ ⁵⁵	287 288
7511	Maru	all / everything	877	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	i n c t + i n c t	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	89 304
